Samples,Mode,Type,Group,Treatment,Plate,Experiment,FAnC1,FAnC2,FAnC3,FAnC4,FAnC5,FAnC6,FAnC7,FAnC8,FAnC9,FAnC10,FAnC11,FAnC12,FAnC13,FAnC14,FAnC15,FAnC16,FAnC17,FAnC18,FAnC19,FAnC20,FAnC21,FAnC22,FAnC23,FAnC24,FAnC25,FAnC26,FAnC27,FAnC28,FAnC29,FAnC30,FAnC31,FAnC32,FAnC33,FAnC34,FAnC35,FAnC36,FAnC37,FAnC38,FAnC39,FAnC40,FAnC41,FAnC42,FAnC43,FAnC44,FAnC45,FAnC46,FAnC47,FAnC48,FAnC49,FAnC50,FAnC51,FAnC52,FAnC53,FAnC54,FAnC55,FAnC56,FAnC57,FAnC58,FAnC59,FAnC60,FAnC61,FAnC62,FAnC63,FAnC64,FAnC65,FAnC66,FAnC67,FAnC68,FAnC69,FAnC70,FAnC71,FAnC72,FAnC73,FAnC74,FAnC75,FAnC76,FAnC77,FAnC78,FAnC79,FAnC80,FAnC81,FAnC82,FAnC83,FAnC84,FAnC85,FAnC86,FAnC87,FAnC88,FAnC89,FAnC90,FAnC91,FAnC92,FAnC93,FAnC94,FAnC95,FAnC96,FAnC97,FAnC98,FAnC99,FAnC100,FAnC101,FAnC102,FAnC103,FAnC104,FAnC105,FAnC106,FAnC107,FAnC108,FAnC109,FAnC110,FAnC111,FAnC112,FAnC113,FAnC114,FAnC115,FAnC116,FAnC117,FAnC118,FAnC119,FAnC120,FAnC121,FAnC122,FAnC123,FAnC124,FAnC125,FAnC126,FAnC127,FAnC128,FAnC129,FAnC130,FAnC131,FAnC132,FAnC133,FAnC134,FAnC135,FAnC136,FAnC137,FAnC138,FAnC139,FAnC140,FAnC141,FAnC142,FAnC143,FAnC144,FAnC145,FAnC146,FAnC147,FAnC148,FAnC149,FAnC150,FAnC151,FAnC152,FAnC153,FAnC154,FAnC155,FAnC156,FAnC157,FAnC158,FAnC159,FAnC160,FAnC161,FAnC162,FAnC163,FAnC164,FAnC165,FAnC166,FAnC167,FAnC168,FAnC169,FAnC170,FAnC171,FAnC172,FAnC173,FAnC174,FAnC175,FAnC176,FAnC177,FAnC178,FAnC179,FAnC180,FAnC181,FAnC182,FAnC183,FAnC184,FAnC185,FAnC186,FAnC187,FAnC188,FAnC189,FAnC190,FAnC191,FAnC192,FAnC193,FAnC194,FAnC195,FAnC196,FAnC197,FAnC198,FAnC199,FAnC200,FAnC201,FAnC202,FAnC203,FAnC204,FAnC205,FAnC206,FAnC207,FAnC208,FAnC209,FAnC210,FAnC211
QC1,neg,cells,QC,QC,QC,QC,132486.3587,125385.2338,1014481.858,6901.991136,157210.8414,129762.4937,3663515.469,1076773.996,82005.28235,28433346.01,78064.67014,28742.37182,65978.81398,1662545.244,18774.41671,87733.10291,1266744.535,1232227.224,124771.9253,312149.6756,81184.76538,353563.8712,,228335.8499,1457476.527,185985.8039,717855.4397,81370.39898,441739.3035,1547049.545,106382.254,74900.4326,7061279.439,6910.846256,12408864.14,470708.6448,102561.7817,165433.8518,852512.7738,1047335.924,1299702.404,72641.09262,47854.84387,25191.18645,12048.81294,1244852.759,7841890.268,10226.48334,2074169.624,50589.12992,36963.59706,11975.27373,15708.36903,1087515.539,2432777.055,48887.97917,267572.2653,10851250.2,51032.83239,3653.897767,85161.03034,63812.24768,4164.193381,6140.55755,602020.3729,39257.85202,44236.8142,45516.43055,23487.76522,113042.6033,161709.8901,459412.0299,1117425.723,61032.3828,1147.703615,23190.36336,1348814.857,14958.80669,18736.76369,21073.41151,15478.17372,24732.04885,75720.47896,14442.43424,135415.5617,136771.0025,19388.81696,2399902.905,14694.73035,1779.332409,1459656.356,146778.1822,235092.1052,54513.50105,1208152.521,52245.34308,2240406.616,28335.26285,95740.86812,136108.8379,12152060.47,20608.2698,48395.98343,5469.035738,13683.89034,7481.652577,268909.4299,9433.128111,17567.01388,11938.31798,8754.708889,24342.64953,51422.17023,2595217.814,37051.19849,13833.23624,3369.820346,172233.8102,7407.084968,65653.53468,18055.32616,19209.93255,137986.2815,40198.28776,1419635.797,1223079.874,30889.66864,33936.08132,120842.5039,62716.30042,20250.23504,3952.449685,2000495.457,9195.588447,7480.01432,2321162.356,62154.33742,3548.714122,424194.5684,231343.4184,107604.441,1030949.691,130520.3077,4816.870978,1823.594009,136262.4275,11274.03501,5076.890195,119968.1663,190750.4575,8017.180345,93238.69219,3737704.566,7847.3357,497975.6709,8973.323394,7382.682984,224887.3122,5959.22874,928.8388117,145390.1314,86227.89851,323935.4327,27135.01061,48319.19181,152328.7592,5614.458214,12371.95876,155424.6124,6399.889729,11221.35743,9942.872535,9816.534808,278107.1196,7238.011164,9457.886499,43759.53092,18482.40505,55821.06364,7211.344693,339411.8606,15217.20756,27317.19162,1865.846101,26283.38459,1853.984086,14506.04781,88391.96364,1737.089824,11351.92125,51873.55064,2206.483313,1517.902486,301561.4707,16702.90755,235044.0591,851766.1141,547868.6417,6080.948733,35458.19398,9551146.464,8681145.514,14247.39639,203634.0279,302432.514,1318.262075,1931.838909,1712.344026,1712.344026,4922.200753,2478.141986
QC2,neg,cells,QC,QC,QC,QC,123765.2308,139426.6186,1021204.666,6784.409763,133228.1543,125385.3719,3655028.156,1040712.609,82180.3794,30095198.52,83970.72052,29489.31465,58491.84329,1644355.129,18392.10614,87288.31864,1198525.789,1290479.048,124970.9181,305982.5913,89546.83109,189540.9416,,234290.2934,1506240.472,182211.2628,693274.1111,87771.98234,459375.0044,1503825.695,109387.8701,76618.48134,7053366.448,6463.44983,13116235.16,464648.9752,106544.5375,162991.0762,829391.0145,1057171.617,1282759.467,72048.85762,47218.30638,27219.74793,11665.41963,1232891.479,8094084.471,11393.47359,2063473.598,51437.98606,38908.44061,10464.31397,15910.87027,1093131.061,2455943.472,47130.27654,271418.4032,10786469.34,52082.37327,4135.280797,83869.19411,65501.62906,5401.851773,6367.88354,518913.0568,39280.38495,49260.60388,40179.10046,21575.78274,128369.2101,160865.1589,439194.3133,1113187.522,72924.93616,1162.183858,25205.56448,1298291.318,14472.28479,14896.23293,19883.33728,13790.86854,21562.31303,66642.20697,13043.65654,128665.1521,132653.8445,19272.62618,2358992.135,15384.1879,935.5790539,1500620.824,139787.4281,216022.2432,54789.78552,1138417.123,49983.85243,2154941.83,22835.49403,101388.7866,143203.4073,12155064.72,17042.47142,50022.63954,5518.23982,16970.84328,7301.916602,252450.3988,9383.722805,18685.9417,11535.93831,8523.86192,22081.00094,62525.23256,2687989.69,24419.31828,12164.53483,2391.89063,174911.8221,7276.610762,58783.03727,17742.97213,15568.54201,128075.5243,38148.11421,1432372.687,1296840.419,30895.77504,29316.05384,103815.763,62975.61668,19667.98926,3845.855778,1852429.821,8975.359422,9549.018231,2427568.076,67207.10921,4254.074774,413109.521,203845.523,102294.1798,1055694.756,125228.7056,5062.00268,1603.129712,142645.0953,10409.88764,4986.011643,123787.8043,182595.9084,8484.802546,92781.13058,3840548.086,5929.755546,515630.9052,8376.938687,6819.640891,208785.279,5237.155266,613.4079329,144821.0807,85262.24588,327791.0385,28489.71199,42777.22284,134075.9936,5619.277763,11324.80973,162129.9954,7349.738702,12874.24488,11129.9122,10380.67876,288680.8942,7065.53107,9083.298216,41495.38944,19194.36738,55230.35067,8309.691326,325595.6472,16868.56744,29202.38942,1652.376995,26107.49838,1694.150443,13758.15414,83722.83342,1772.684752,11902.41965,52039.30593,2102.918994,1318.364006,302127.335,17061.39825,224899.1369,672923.0535,322172.1761,4905.720448,27230.42737,8393807.389,8713082.075,13387.26978,198751.017,231067.4098,599.8055398,2533.25279,2105.333063,2105.333063,3957.553557,1964.300238
QC3,neg,cells,QC,QC,QC,QC,128408.622,138333.3354,1051681.521,7524.796322,142650.4744,125226.0867,3701444.774,1027752.376,84507.51336,32711033.55,86822.88015,29486.44914,57655.51934,1657073.307,18853.5529,91981.05268,1167339.207,1309087.3,130150.7294,299085.2718,92741.58497,189207.8786,,225447.2682,1550619.251,186875.9362,689408.4001,94168.45574,475758.885,1475783.461,96514.67331,72230.68688,7031005.649,6594.704196,13266943.23,449888.3149,105269.0566,161302.67,815908.8002,1048128.169,1252886.071,70975.00466,50142.9882,24589.67067,12186.33535,1256673.974,8245214.655,14422.64794,2044644.193,47725.07569,40687.74147,10065.83138,15631.14776,1081335.48,2517464.472,48276.87553,271935.1856,10951288.01,53526.74573,3722.363934,83759.09358,63415.69083,4490.612816,5545.255128,476775.0778,40084.41562,52897.37413,38145.76566,20972.27234,120092.8399,168411.4065,430027.3673,1107724.236,73870.42633,1230.732236,28500.23219,1299105.352,16609.31415,12334.19654,20950.91232,14016.69526,18328.69086,64426.23555,12304.07283,132924.5291,131760.9153,18210.27866,2353698.435,15311.53989,1899.804815,1510225.846,137349.47,211797.2855,64136.3963,1129455.172,48464.75923,2120828.432,19406.67353,101674.5299,144948.4759,12355229.74,24528.93534,48872.07041,4811.194772,18233.22158,10814.57275,249337.7085,8872.785935,19218.4347,11152.27601,8655.302952,20495.42218,67825.76685,2698404.28,23658.47836,11705.17951,2616.809253,177149.5562,8277.207268,52444.60891,18901.17745,15801.71321,121026.301,37839.0441,1418362.031,1301184.641,29583.78012,27515.93931,94779.75003,62941.75273,19549.82536,3378.468838,1811222.154,8942.170842,10115.45519,2475101.857,89083.36449,3864.821259,403041.3515,200782.3962,101001.7587,1089512.923,125051.1898,5558.382448,1396.150992,152528.6391,10736.01971,4020.892084,125828.6847,174432.7047,10397.71043,88899.09834,3731960.501,8828.245979,510606.0537,9160.888932,6153.576836,204950.1123,6053.962567,1183.584439,137353.1856,82754.531,332331.3607,28940.36679,41120.09682,123944.8626,6602.144771,10668.42456,164297.0432,6514.049285,13405.1568,13356.33423,10888.83315,287362.3455,7895.956755,9696.439326,43279.157,18263.13601,48193.20959,9667.631293,310505.8712,18109.64915,28432.05562,1710.456993,26225.78347,1804.105925,12733.67909,84059.80492,2036.636216,12104.74977,49484.15887,1533.627111,1057.052454,294991.406,16629.40754,229856.2688,646576.228,316667.7204,4615.636387,27440.0015,8245520.616,8523844.39,12930.13699,192091.2409,217340.1908,831.7273532,2232.035346,2198.955748,2198.955748,3898.003612,1993.368381
QC4,neg,cells,QC,QC,QC,QC,128877.7604,145141.7585,1070582.219,7687.059358,156841.1677,116012.324,3712198.962,1014666.486,81804.77199,33557004.16,88023.60323,29697.37916,54646.156,1633163.992,18280.64483,95870.38619,1102924.947,1326711.307,130823.0564,305209.4158,91351.7164,208753.7714,,227862.7394,1583816.656,180459.6237,677917.1216,99001.33025,486253.1747,1464219.281,104458.34,71489.26472,6951603.402,7518.280324,13345686.67,430196.3264,109227.9115,160617.3598,817879.5702,1047708.806,1237764.29,71083.07134,51313.41069,26184.47557,13040.32609,1272932.75,8412500.982,15210.76245,2030425.317,45399.48826,39631.48396,9640.223675,15186.58059,1068361.655,2538440.298,49825.32545,270118.0779,10822580.09,55115.788,3886.20532,82789.22701,64461.77209,4696.850273,6496.623692,450520.5499,40771.45357,52090.086,38222.02011,19340.8481,113870.6859,179090.2533,419218.8309,1115517.444,74418.07219,1581.730221,25140.12491,1282622.871,16904.02805,10024.88037,21130.63528,12637.64077,15792.02469,61454.45323,12373.18026,131920.8284,130304.0639,18446.29965,2303776.586,14672.50629,1281.362914,1489632.217,135006.9641,204556.6791,65459.60221,1123863.617,43749.56841,2090865.005,17291.85562,94480.40377,140888.9655,12502762.96,20485.18568,49394.43692,4774.104713,16615.09437,16609.99401,227601.4871,9051.879294,18226.5955,10738.32864,8741.688201,19174.15074,70604.05296,2666375.591,25574.52174,10974.77963,3346.81568,176376.16,7201.073761,65156.44586,18030.25312,15105.08551,111775.5132,36982.56207,1417782.648,1318476.103,30969.2335,25159.19472,89855.76552,61099.37494,19153.73127,3682.798393,1808475.068,8704.04868,10055.56092,2518445.809,99852.42233,4005.585416,382843.5238,196721.114,100516.437,1120116.161,125212.1847,5393.433027,1197.704639,152414.2747,10557.79996,4149.757843,124217.89,163209.4285,10581.76285,82940.04879,3609150.701,5631.3685,494753.1232,9311.858347,6087.22728,200375.9801,5399.73591,999.1981931,127599.2935,77599.13672,336819.0768,29376.43084,36698.43947,117223.5244,6387.171441,9556.629318,162428.4873,6869.838339,13943.25529,12419.43668,9665.336448,274420.3043,7918.457518,11551.69321,42483.97291,18875.57007,46140.99002,10673.4681,296158.7409,18091.99976,27627.4139,2016.8292,26515.88607,1903.922994,13428.17324,83224.3197,1735.407968,12012.30516,46272.32761,1254.674242,488.918572,288072.4023,16880.53837,233186.1268,647418.1659,322451.0823,4071.129284,25966.51221,8493799.028,8532635.923,13356.05385,192343.6997,211454.9372,742.9986551,2320.868971,2520.095465,2520.095465,3615.469822,1680.916509
QC5,neg,cells,QC,QC,QC,QC,130286.2514,141208.4389,1087286.316,7058.108005,158337.2662,113427.6717,3785330.486,1039281.108,84976.11008,34607501.25,61162.90463,28421.43345,53311.52397,1633877.95,19115.87934,95483.21945,1095700.111,1342588.136,132788.9763,297577.1671,93503.31884,232368.8153,10559.99339,229171.8807,1621637.147,183169.3193,684426.4076,96525.89313,501812.7562,1464807.578,110116.4336,68339.92019,6971590.471,7478.898713,13448356.92,422713.7611,113395.7889,155851.4311,826328.7234,1036871.264,1229767.921,68207.26441,50374.05819,25917.36051,12330.359,1297091.966,8510211.455,16230.9453,2038348.491,49792.80442,40937.41863,9371.553647,14845.63408,1068178.501,2599751.941,51881.562,269469.0552,10787083.57,55955.35532,5636.519734,84208.41078,62840.03807,6124.938096,6118.10316,430926.9975,40251.58636,53450.14758,36030.17619,19248.40983,117038.3547,178140.5351,406532.0183,1122889.748,75409.72891,1433.841375,33041.92371,1290699.869,17521.01397,9071.001098,22765.56892,13737.82083,15619.264,60820.59238,11539.65696,135246.8852,130627.3194,18949.2384,2310124.933,16719.63676,2199.225971,1508423.591,136616.2496,199126.0065,66669.31772,1130172.022,44766.47697,2093372.241,14806.33991,98016.46322,144086.271,12648038.39,20420.53125,49407.69866,5067.051532,17368.3431,21890.98353,230673.092,9193.181721,17703.37087,11052.81399,9216.088914,19381.49773,75150.34978,2690126.388,22059.61028,10666.57215,3413.50149,181659.8247,7025.565426,60372.33916,17596.85081,15270.82574,106877.8821,35331.57236,1414333.615,1323373.2,29869.08568,22214.63166,85569.67592,60508.46621,18978.1892,3814.112899,1833681.634,8622.338444,10254.6691,2571675.669,97755.13038,4498.376199,377785.3205,199915.9868,100561.8422,1175713.256,122725.0982,5312.842908,1482.995273,156145.1063,11372.28499,3275.303428,119626.6188,157637.4832,12800.5659,82969.7717,3627550.489,3788.730919,488240.6374,9130.242496,5991.116867,200564.5592,5024.931364,1210.738125,127276.5158,77750.22815,337984.1129,29066.35777,35881.11451,113775.288,5648.814299,9017.187823,163344.8139,6882.87032,14908.46146,14188.2858,11272.87673,270459.4984,8299.488116,12165.93349,42063.67898,17350.45929,45532.8515,9168.838649,298518.3688,18560.07881,28422.57499,2230.901583,26212.64226,2261.594905,13323.28483,84119.16826,2051.216374,11782.96987,45712.61,1214.152847,934.0603189,289708.8626,18113.27762,241857.2097,659062.302,332224.8567,4797.736265,25879.69073,8552950.966,8609854.306,14638.41923,196266.6124,208790.5929,591.9029239,2438.865089,2089.832885,2089.832885,3511.981168,1357.5453
QC6,neg,cells,QC,QC,QC,QC,145043.4004,161398.035,1179863.541,7748.587379,181914.472,130733.4431,4190543.812,1186692.499,92845.65118,39008524.86,75116.48811,30271.70945,59951.54316,1902858.991,20935.13634,103652.6203,1205907.967,1563159.683,141009.9375,308522.2829,94611.49231,365813.5677,28602.90373,256026.4348,1869462.096,202691.2196,739112.8663,110727.5119,624378.9361,1601606.47,108465.6973,66941.06587,7373859.825,7922.15184,14373520.84,449065.5088,119630.2181,184075.5733,938707.5991,1125486.658,1322534.99,71281.89171,56081.5317,27605.05511,15658.97083,1452187.791,9557954.52,22778.00157,2242251.036,55555.26666,43396.75208,10730.6,16073.55915,1190179.583,2861352.022,52780.78849,292328.7783,13182591.82,63058.59317,4628.674215,87430.99096,70131.48393,5863.076669,7228.036141,401090.4,41715.47983,52907.07093,34597.89176,21963.96268,120366.1864,186329.3982,383675.429,1199307.945,76329.81118,1918.159409,35541.44387,1361165.803,21699.90691,4509.984922,25817.29098,14825.61869,15909.84797,70285.79353,12639.23918,146843.509,163914.4288,23048.76454,2718925.221,14829.01021,2945.585207,1714072.016,153363.1861,196640.4534,67480.974,1176597.975,47635.03637,2150211.694,9469.791577,106150.2129,162174.7786,14062259.43,13901.4333,53709.9031,5509.077947,17806.63984,57165.05827,247100.478,9833.828425,22989.1827,7121.68937,9999.364469,18924.85037,82198.44811,3236568.618,32286.04989,12823.01093,3695.241115,193787.1661,6944.457403,58702.18433,20466.92447,14824.34346,101708.6048,34530.7731,1412147.221,1443185.714,33410.77434,25184.41908,99097.28526,71260.01265,19278.48151,4990.959795,1901687.675,8159.523905,15957.82912,2758908.485,142712.6224,7880.132047,399056.8393,197989.8233,108869.1288,1313850.885,129345.7231,5922.383195,1421.070737,166546.689,10824.83719,5217.485361,118313.3837,151003.4714,24982.26668,79692.26822,4308572.167,5270.695544,533227.5408,10761.06508,7585.794165,237179.5317,4029.688593,995.1890978,123890.076,74573.65012,370538.2935,32983.93585,38897.31896,123451.4994,7063.5314,9082.785892,166127.8546,6727.770244,14349.43511,16972.99937,11409.74597,303751.5679,8506.978341,13113.16308,46755.89401,22163.81953,53953.01973,9853.470305,369281.2663,19917.34846,35462.6107,2415.241358,29663.54726,3029.361984,12643.12893,86478.34876,1660.029308,16003.15838,59949.80241,1551.704529,901.2114177,380609.3914,21293.2702,256718.6531,734276.6864,381482.3106,5578.093911,30050.36204,9325682.981,9391723.219,19988.97815,218790.4343,236036.1615,1057.320224,3259.871011,1971.459509,1971.459509,4247.400871,1626.767014
QC7,neg,cells,QC,QC,QC,QC,145088.1349,152943.2776,1239282.6,6924.026204,181998.0225,124412.518,4275360.613,1220583.727,94074.95418,39829075.32,117328.2685,31560.06081,59557.68653,1932833.573,19645.36665,100604.9271,1189880.282,1540327.54,142240.5123,302934.3032,90251.5375,273981.8953,32487.43954,256265.4332,1917668.242,203200.3359,746141.4435,111447.5197,603766.1246,1617449.295,93278.50609,56763.21261,7610243.759,8532.471048,14768092.42,449359.4427,115056.4375,184689.5858,956690.7676,1149620.716,1337251.247,71638.54546,56208.62316,29682.28679,10370.03508,1454023.54,9696756.237,31019.88335,2145969.835,53543.97871,44732.28081,9426.551154,16148.99273,1148981.21,2934477.926,54948.83744,281259.4151,12333409.31,64871.07528,5030.836642,89361.69351,70498.55975,5883.677461,5913.232118,392166.0395,40112.87388,50091.82355,37155.94784,21415.46891,117475.931,183330.6109,388761.4388,1225497.595,82590.39274,2226.097014,34169.63399,1367391.651,19918.0332,1765.798724,24176.1567,14936.47082,13602.678,65393.79947,11664.50971,157841.6063,162517.0066,22974.68395,2717319.686,16202.41619,3068.445369,1717876.624,150961.6601,179207.7056,67372.06612,1171855.021,46640.69851,2079067.019,7679.674059,107675.5264,162330.0748,13935316.94,15445.04408,53061.64509,5510.763257,18759.56165,42856.91156,233990.1741,9533.924701,23271.27308,5125.184304,9730.183268,17079.07125,87736.91555,3274446.907,19830.50796,12209.86153,4580.723205,194250.7478,6925.473898,60300.09732,19236.93992,14939.80148,99603.91181,36034.69284,1467554.28,1400452.283,32862.87176,22490.77359,93813.13904,74158.8225,20400.7863,5198.331195,1921363.668,9459.023651,18844.29166,2823538.406,123473.2684,9313.689328,396407.0768,190999.6085,109052.1326,1376243.912,125979.3251,5951.781475,1177.978131,170497.8505,10353.46113,6017.466057,114528.6693,152189.9514,29078.96184,78654.94058,4264016.768,4620.700423,533037.2647,10213.34544,7484.452452,231660.7317,6547.79218,843.1195493,121028.3911,76267.32462,380795.4156,32910.09184,34267.15846,111929.415,7155.900602,8956.231832,169216.1058,9273.546755,15216.05232,20386.0881,12559.61502,289706.9021,9061.274835,14856.52378,44148.2329,21861.6374,49541.95536,11188.69637,351081.1376,19429.56525,32451.52844,2209.103198,32262.94188,2298.797114,13335.39648,89954.46078,1888.212486,15355.84068,57359.13879,1351.188814,1614.807368,374435.7802,22620.38254,256312.9364,706954.0679,372162.2571,4820.970352,27621.25483,8665284.138,9503299.807,19418.179,211484.6008,230108.1748,813.3844152,3076.981457,2182.886271,2182.886271,4357.115734,1496.884235
QC8,neg,cells,QC,QC,QC,QC,155244.5482,147044.0652,1295138.503,7533.051421,174944.0006,128878.0311,4392563.953,1240284.003,97478.01682,41708432.43,88285.60754,33123.00212,59236.68694,1963944.736,20252.35694,104639.1891,1210140.974,1532529.449,154229.1581,301254.9565,86059.21973,256262.2299,33232.16097,262644.1704,1945875.381,179506.8424,777838.9953,113198.4912,610158.8393,1632115.055,100477.5262,52590.67521,7753784.984,9406.307987,14826960.65,458240.4959,116304.0671,180782.2568,966790.5586,1183271.766,1361040.229,72759.67117,59591.75564,29778.85067,16419.09062,1483312.621,9867567.229,36323.08851,2134371.319,45814.98326,45981.12477,10023.57888,16687.94874,1140525.429,2982912.072,59931.06682,278262.439,12419898.17,45598.33863,4703.67801,93041.92056,70731.14204,5168.181548,7061.966567,388985.6437,41186.5703,49512.24931,36594.47726,21939.02427,118891.211,184319.5637,381689.6974,1267303.605,96826.71397,2458.803725,38538.08758,1409233.411,21825.70459,1159.676907,25078.43541,17910.61849,12712.43503,66445.69716,11797.35383,160801.3682,158235.4042,24806.48104,2706327.88,15907.66969,2774.372689,1700696.788,151811.5945,176482.7894,67761.26214,1214036.212,42951.91854,2086214.521,5776.184793,104016.7912,162625.5294,14012182.75,20167.99358,53132.43101,6081.191487,13531.49469,41064.7307,254226.0135,9794.94903,23614.40952,3824.225753,11393.94169,17220.14574,87922.12258,3265131.195,30567.5983,11425.98057,4585.290767,208350.3196,7752.79554,57786.99689,22132.07733,15509.84267,99680.22685,37406.80861,1512840.937,1361676.763,33509.50119,22036.18916,90115.97788,74726.56906,18762.62925,5578.887987,1994976.592,10097.81061,22418.80237,2897497.269,120374.5914,11338.93427,397200.0098,205455.8091,110841.9022,1461805.539,122226.3396,4885.616744,1530.971062,174367.4966,10422.24001,5565.291396,119889.7545,155263.6182,30606.54501,82068.28318,4178290.471,4941.77046,501762.0454,10679.79088,6755.241959,232399.7829,8682.216685,1569.750677,125177.366,77058.49115,397794.4905,33924.65915,31981.40809,106467.4197,8236.15244,9040.651757,172199.7429,8792.170004,15897.07019,22750.9966,12624.11936,274485.6212,10160.73736,15150.43847,44075.22227,21402.67078,48237.81868,9979.446802,340688.2132,20120.03574,32903.41323,2018.300597,34279.57475,2651.347818,13742.70126,92929.0135,1975.523814,16810.90719,55899.611,1291.770045,889.7527132,377912.3221,22072.4849,259986.9892,764727.4201,441303.3417,5707.287442,30441.89234,9086237.071,9502440.924,20635.73378,209110.9899,247707.4377,655.6958769,3258.841606,1674.432423,1674.432423,4338.729552,1146.59717
