Samples,Mode,Type,Group,Treatment,Dose_uM,VPApC1,VPApC2,VPApC3,VPApC4,VPApC5,VPApC6,VPApC7,VPApC8,VPApC9,VPApC10,VPApC11,VPApC12,VPApC13,VPApC14,VPApC15,VPApC16,VPApC17,VPApC18,VPApC19,VPApC20,VPApC21,VPApC22,VPApC23,VPApC24,VPApC25,VPApC26,VPApC27,VPApC28,VPApC29,VPApC30,VPApC31,VPApC32,VPApC33,VPApC34,VPApC35,VPApC36,VPApC37,VPApC38,VPApC39,VPApC40,VPApC41,VPApC42,VPApC43,VPApC44,VPApC45,VPApC46,VPApC47,VPApC48,VPApC49,VPApC50,VPApC51,VPApC52,VPApC53,VPApC54,VPApC55,VPApC56,VPApC57,VPApC58,VPApC59,VPApC60,VPApC61,VPApC62,VPApC63,VPApC64,VPApC65,VPApC66,VPApC67,VPApC68,VPApC69,VPApC70,VPApC71,VPApC72,VPApC73,VPApC74,VPApC75,VPApC76,VPApC77,VPApC78,VPApC79,VPApC80,VPApC81,VPApC82,VPApC83,VPApC84,VPApC85,VPApC86,VPApC87,VPApC88,VPApC89,VPApC90,VPApC91,VPApC92,VPApC93,VPApC94,VPApC95,VPApC96,VPApC97,VPApC98,VPApC99,VPApC100,VPApC101,VPApC102,VPApC103,VPApC104,VPApC105,VPApC106,VPApC107,VPApC108,VPApC109,VPApC110,VPApC111,VPApC112,VPApC113,VPApC114,VPApC115,VPApC116,VPApC117,VPApC118,VPApC119,VPApC120,VPApC121,VPApC122,VPApC123,VPApC124,VPApC125,VPApC126,VPApC127,VPApC128,VPApC129,VPApC130,VPApC131,VPApC132,VPApC133,VPApC134,VPApC135,VPApC136,VPApC137,VPApC138,VPApC139
c_cntrl_1,pos,cells,sample,cntrl,0,1483618.757,662032.1138,18099.86359,8506401.739,116805.5523,560132.7977,20629650.3,1753600.475,461901.0481,42589.11958,14541.70569,855761.2295,2444161.123,3694469.411,1892369.137,3178221.205,533616.3098,7757981.927,1034553.8,68249.30087,955393.1239,14601287.23,3954136.767,4963610.08,287568.8954,7896.851537,450200.0047,43971.39621,98212.78091,80848.55057,9365.320452,172139.1337,19186250.38,8651155.311,734866.0334,82234.22548,27932.62552,36971.71449,96005.16242,11790.74942,270936.4563,1469318.459,4272878.138,131790.0542,3776.002961,4897.272925,5979.608731,8305.678921,6607.433727,2016.793404,191224.5887,29777.19326,2743132.398,284243.8529,21598325.88,4110.284578,74310.83552,2369.804176,1232253.457,986032.56,44466.30185,913914.1397,39702.63806,53231.68053,1378818.737,29637.99457,17554.58462,33075.95563,707740.592,14258.92345,15682.03172,68221.87898,6143465.773,11575.41893,4201.731044,34604.09423,702146.1985,28216.53473,23644.03409,1217283.324,30155.58953,14847.05929,10754.68114,4281.07348,5758478.325,9803.667098,1552.030601,20659.42633,59930.02824,6856.833037,5056.787012,4218.139452,49349.5642,6292.797239,247271.5483,18253.27055,2747.151045,1628.86024,31287.84943,29180.77011,1031.193491,2711.608357,2441.607986,100734.8176,7319.503714,2508.691908,87838.56287,61096.95807,4656.24831,6529.465205,32098.10639,509393.591,1314400.72,10772.11629,37961.42479,715613.2534,77151.6097,1772637.3,72042.78495,33687.84807,1568.919065,3838.803299,4411.179041,27373.86937,1614637.54,1004027.334,108555.4742,1047996.929,204986.3141,1890.406542,24431.48889,28579.81237,7589020.665,5594.326373,282609.5873,856285.6278,3537205.017,14286191.1,24370.28595
c_cntrl_2,pos,cells,sample,cntrl,0,957868.2309,405808.8048,9993.813313,5792905.91,73282.90641,241586.7487,3646893.804,897824.3606,243590.1695,17773.479,1026.460169,475122.92,1874825.643,1696384.783,1183444.705,1739255.579,138751.7534,4208499.7,408505.8675,33159.93178,497284.6666,10636449.73,1611818.283,2447526.973,143733.4269,5699.002885,353045.7241,57501.08265,20488.52951,17099.37523,4123.687353,67663.68291,12512980.77,5599307.325,402537.5707,35197.32659,9359.30899,17852.80165,34980.71265,5263.952913,47991.89312,565365.9381,1738264.289,62272.59615,89.87108926,1068.880924,1280.897759,816.036248,2232.992125,322.2563478,48585.64627,11719.05969,1187361.989,169263.2984,16005076.9,,45155.85584,1063.995585,398669.05,378167.3087,27731.13662,323821.1238,16895.12961,40877.88681,514047.2652,9484.494546,8764.886288,8805.582956,221606.1347,3994.933252,275.1823311,26075.62257,1707340.668,6275.154068,882.208072,17238.28696,115216.5122,3579.183304,10919.07652,241338.76,26555.51355,11744.29383,3862.283037,515.8685204,2467951.222,1700.588929,688.812299,7048.551743,32134.77283,9872.667527,6773.08852,2645.578705,23844.97721,4932.991418,53954.17022,15741.5372,998.0236458,240.3418645,23705.92064,15250.93558,1767.709441,509.0831069,157.5286946,38851.18795,1581.620942,250.1853089,34769.99099,24318.62756,1635.506328,769.212582,14058.00173,229443.0223,374167.2498,5404.880177,17217.90296,261052.8414,29932.24817,743445.7353,27747.66306,15378.29085,408.6905424,797.6974439,1490.598405,7039.229293,796175.2971,494901.9692,48815.16655,419113.3907,15659.4032,713.2862386,17025.57942,12021.83798,2934608.548,2252.194014,123750.1171,365547.7027,1335097.167,5209487.208,13634.74121
c_cntrl_3,pos,cells,sample,cntrl,0,1550797.579,546424.9083,17742.52684,8337747.107,107229.1508,528377.4265,7599239.658,1747310.973,441510.1907,25073.7848,4987.511016,739830.0292,2641886.402,3103762.429,1947169.513,2674108.946,146136.5377,7816054.557,542431.093,37685.22998,825850.7172,12356859.13,3175972.693,4723629.224,262321.1222,9113.746272,708227.818,104052.6548,108168.2142,52982.09877,12497.30668,144790.5729,18066478.88,7665868.714,722331.3679,42880.01109,36603.3272,36899.0856,85962.68691,11052.25463,352237.6327,1488459.104,3578303.316,120177.0378,1353.489845,3163.081564,2905.853745,2998.792549,3347.999682,2997.087796,200011.6474,8038.203902,2349104.452,204852.0649,11259238.17,1344.00614,112379.5182,3827.99791,1197159.328,876798.7071,48086.74274,889715.5739,41005.85426,103270.2444,969908.4785,29726.14365,17890.6133,19785.4669,503129.1721,7393.527264,5690.370396,61642.7545,4077400.689,8912.579583,4127.349548,32505.75078,292281.4128,11037.49592,17064.4127,498078.9672,20585.16639,17195.06432,6752.556565,2480.138798,5139123.771,2980.635736,1985.33304,9031.818254,62116.30683,12062.10888,14665.07567,3435.402844,27929.09428,11791.54865,775772.3276,44259.4972,2533.487423,805.8732774,57183.6382,21813.0231,1429.219109,3199.2721,3409.620111,187548.3425,8908.16146,4618.406107,129670.8626,70715.5201,3792.59814,6005.43448,29177.52048,559935.9033,1432885.146,15447.55812,31801.17325,629172.6435,99610.15248,2056316.864,69820.90251,41075.63389,1625.453527,4675.034121,3756.235085,11546.87808,1471337.461,961379.4196,115854.2906,849937.061,31990.32855,5800.236026,89284.97452,32296.6121,7168139.718,5124.047422,273037.4804,843654.7886,3418787.3,14226246.9,27213.37905
c_100uM_1,pos,cells,sample,vpa,100,1268100.073,539443.6721,14795.26028,7711662.729,99370.07768,426417.9179,12026350.11,1452545.709,361343.3089,28174.16075,6343.352166,644811.1484,3251882.384,2876778.447,1589484.478,2466221.394,262450.1996,6180306.006,560005.5343,46899.02555,720044.4399,12378562.89,3070792.391,4103898.874,205195.3712,8406.761977,524768.2547,82448.55856,38912.5134,32315.93444,6893.52445,128043.018,16677087.21,7725029.8,628137.4198,67701.2472,18883.76871,35016.85343,72979.72891,9421.393651,216937.8065,1328218.042,3281602.866,113171.125,2112.466013,3132.754358,4033.068945,5383.683596,4263.755522,2187.48084,170562.6405,15609.04744,2217733.948,207270.7347,15659717.47,2787.214289,86245.09844,2548.394215,754712.7846,820069.0388,43241.521,678107.3921,24477.73069,52831.16099,904131.845,26169.17389,13916.65691,25199.21401,506303.6631,11961.71182,5970.519635,53008.83196,2460097.514,8500.638326,3902.394578,43672.25216,622197.6236,12146.25849,17513.44662,982368.9794,28711.36538,15513.75025,8943.548326,3915.141182,4463420.567,3582.685283,1735.815391,12332.06003,48303.64907,9464.890493,8666.466701,2872.668328,37833.65865,6837.825801,251966.63,27056.43266,2830.061571,1429.523718,35708.1824,27574.4544,1838.874358,2659.085027,1828.949695,101538.5149,7353.721475,2738.153474,86545.19956,54601.8544,3156.13422,5409.405991,27146.99718,530255.0259,1086203.142,13168.51684,30345.15211,602022.8147,76541.98996,2019384.238,68619.66223,41826.27384,1311.957007,3018.244697,3195.099118,13869.9857,1357878.226,835372.953,94868.96831,808938.7978,98046.68325,10451.29208,34481.01869,24200.79371,6872938.226,4729.694929,277014.3809,826103.0318,3408729.112,13920909.93,22824.25317
c_100uM_2,pos,cells,sample,vpa,100,1684256.879,637053.9414,19723.41964,8629943.521,109117.0736,634230.3321,10812768.55,1798258.003,448961.7686,29191.67712,6586.03863,651470.547,4578033.746,3325983.765,2072319.068,2692368.793,272622.5614,7671666.407,715551.1028,56900.37032,831038.2284,13917699.22,3491850.046,5271455.37,241381.3425,24774.84444,766488.5768,102532.4352,55560.11658,87169.18301,11860.41871,175149.1552,19205127.76,8291870.774,757654.2199,57277.85015,16713.67325,43251.05654,100882.4658,13266.68126,221382.4191,1922857.1,4009559.872,143221.2609,710.7708749,3998.557811,3714.63455,1569.622078,6113.763049,3025.555915,183905.4367,16889.35026,2572590.959,159470.8939,16088583.31,2391.464725,95292.10026,3599.47863,1040093.65,982087.1395,56613.09585,850181.7067,39395.38518,102999.7647,1004507.027,34953.64526,19043.09597,23981.70848,653424.5415,11194.16682,5755.610903,68405.81451,2524917.75,10310.75831,5258.581724,38391.18966,530597.2874,15076.33257,19728.46069,725566.1124,24237.05229,14861.27026,8406.434172,10443.63708,5815697.866,4476.381532,2520.80144,10090.45225,67206.59011,11583.16099,16564.48409,3019.948752,29228.48554,13119.36601,481803.4894,49950.97279,2376.763033,1639.192834,58664.54255,23797.03887,2229.670362,3191.191228,3652.627982,186709.2109,11370.36443,4179.524489,112723.134,73560.37323,3959.314711,6881.453541,31074.36004,677390.3012,1618937.401,20226.86172,37416.66238,753035.6826,103023.1663,2765211.186,89196.7406,60781.59541,1476.243607,4848.768882,4842.319373,14442.89469,1714865.16,1106123.73,123254.6426,1060637.166,35186.70231,35636.11614,80461.63916,37233.99742,8661704.893,5808.353153,329030.069,1042197.743,4250044.923,17925595.73,31321.55277
c_100uM_3,pos,cells,sample,vpa,100,1459548.431,525879.7493,18497.15281,7746879.447,102120.4472,450192.0027,8264542.248,1525990.962,392032.9767,21065.15967,3630.110616,690756.0606,4510677.171,2707671.482,1740454.243,2386615.331,241555.1546,6666247.038,345683.4811,34352.09104,779739.2289,12100849.38,2408569.319,3847567.501,214398.9769,16548.86608,894383.6899,110014.4254,42659.47094,31637.02925,11112.43725,142091.6495,17042220.62,7803118.023,597931.4199,35361.40904,5213.40514,33064.15415,76538.59661,11904.88965,94071.76378,1268426.712,3056943.474,108584.867,115.254994,1633.241988,1650.781983,1505.132334,5029.010492,2331.756115,132271.7255,5423.131678,1941292.585,158050.7341,17290322.08,1714.870783,84799.19796,3103.643819,1025749.086,760511.1403,49736.61657,724681.7762,25934.6893,130175.099,865020.9936,27233.84423,15767.14339,16400.67628,373133.8496,9154.541436,2819.224033,50201.9924,1285858.756,8911.78065,4335.509713,26598.14584,365215.1969,8709.769203,16317.82159,648947.6313,26766.27642,16583.52893,5398.641849,5230.258424,4789864.185,3151.088944,1850.108532,7295.632528,58239.51309,12011.32839,15958.50944,3120.998327,25995.74733,12253.95354,187947.6348,50347.74314,2669.505778,1160.18448,55525.14343,20343.31146,2462.042796,2169.067154,2522.926324,125342.1536,8301.790083,3362.458294,85169.14779,57997.74265,3719.847813,4423.100436,24835.55517,556353.2556,1027303.888,14835.20045,30988.46196,567430.7974,66046.83901,2083043.303,68092.50364,45797.30532,1844.381163,4092.049879,4250.948895,7600.517423,1375991.873,953508.6646,109046.7144,778792.0101,19036.77742,16135.12424,53571.99393,27554.10866,6531630.525,3814.705436,253672.4611,774957.242,3218063.292,12661414.86,28277.61651
c_500uM_1,pos,cells,sample,vpa,500,1353456.678,473294.2535,13744.73015,7923198.454,104439.2429,454663.1576,14346752.88,1596468.207,361492.8142,36714.59444,6822.661274,650382.3327,3941880.499,3102724.287,1628972.107,2616293.501,121490.8329,6057094.553,563013.3313,45455.43676,756962.0093,11208830.47,3426176.23,4647240.831,184462.113,9967.333031,637730.0725,70926.35426,54456.59177,54288.62851,9103.532153,129540.0809,16994263.32,8630351.615,715768.8315,64693.7639,41228.87288,39728.68534,85957.38615,10938.88912,325816.1709,1554386.917,3808483.633,127649.3619,4164.195396,3166.742349,4942.462906,6108.581597,3771.012693,2099.062497,172549.266,16101.92335,2463625.392,141322.2577,11689278.97,4297.29129,86768.03416,2476.75168,821900.0903,1011025.659,46536.11978,710121.5547,23157.9084,68332.81028,947099.0248,34209.06117,17018.79028,32107.54546,548440.3198,16924.35265,9471.091741,64551.68443,1157567.41,9920.171149,5177.873383,48237.81137,804514.7546,17709.88857,19212.03355,462676.8942,24738.13612,17291.23076,6408.657471,1982.789772,5324650.72,4288.686517,2084.534232,11765.15754,55911.38685,8603.576474,6646.520819,3843.604545,34033.12523,5950.075048,527379.8872,25468.81177,1948.862324,1611.90282,34050.61664,23588.3977,1510.331778,1936.797625,2180.912398,172796.6125,11103.34592,3291.572927,97409.0611,65660.08052,5302.174209,5778.068497,36231.96723,750251.3194,1227904.877,19909.66656,38582.83014,797895.4743,75550.01233,2615820.983,97896.37581,63429.36299,1874.143522,3724.000678,4396.391684,17580.05894,1572036.927,1018375.794,94633.28679,895476.5242,131279.381,5681.114163,40467.98208,25521.10128,7491736.623,7016.09272,297866.6287,924614.9526,4055775.051,14621486.46,25772.2917
c_500uM_2,pos,cells,sample,vpa,500,1309624.17,494133.3194,12129.3334,7212014.568,99377.15872,393276.0537,8160402.531,1439251.537,317394.5361,37844.54139,3725.317186,722160.6997,4570321.639,2602762.26,1518586.402,2302280.671,219538.9399,5350502.476,400566.5554,38754.13896,690936.2043,11594124.64,2400091.804,3817125.598,166989.5535,4253.717027,814633.1943,121259.0316,39510.25699,23590.43602,8734.373763,115735.7047,16300828.34,7905321.744,596535.6708,52910.00811,7911.151746,37599.44352,68107.00814,11362.17945,88554.41922,1241639.193,3041717.719,110528.3585,,1720.72943,1368.076099,2171.341633,4106.815151,2096.146176,144190.9326,8204.975606,1990373.286,117817.5948,20109006.55,1191.661371,77964.9437,2785.074086,641308.6597,800298.4336,43906.49118,551240.6861,13570.56257,91382.13682,845595.5947,25434.96302,14654.3601,27987.77388,364825.381,31619.16735,1934.302997,48888.60412,452745.0675,8083.504988,4245.400887,50844.15858,633162.7262,15459.42291,15362.5472,647869.5432,27636.60893,13583.12832,3859.3328,23333.70686,4911104.029,2044.01087,1533.083463,6957.278256,47280.76124,10086.33349,6109.936679,3781.647593,26371.8827,7046.649416,110078.7989,26695.91809,2108.325925,1876.064569,32077.74507,19627.91094,2678.773891,2330.857388,2015.951462,102553.8137,6846.137684,2474.290142,88270.10896,57837.82143,4189.523239,4481.426873,24862.46413,458412.1627,1022449.156,12862.30422,27109.90243,476076.5837,73970.26011,1701446.058,65452.68265,42639.79305,1181.310178,3385.554352,3785.262639,8329.699821,1419542.779,921762.5521,75871.34172,743400.3896,31759.24412,4580.838782,37400.65609,22161.23211,6453135.483,5320.564248,264723.4012,815702.3071,3653631.205,12053981.76,22216.89799
c_500uM_3,pos,cells,sample,vpa,500,1354363.619,466695.2378,12225.08168,7172337.272,95961.89433,333033.1516,4752032.207,1463699.818,312372.491,25108.85462,1259.757669,587879.1924,4600897.566,2267315.184,1394309.878,2169796.296,135009.2808,5333951.055,209095.2894,27153.76312,675194.6955,11357494.67,1990407.725,3242825.04,161710.0109,8121.964893,877455.3151,75328.53581,21970.8414,27014.13992,11009.67183,108881.5208,15839585.55,7603262.054,550304.3868,34433.24979,111.2685581,35136.8636,60816.77764,8684.298103,65726.59994,1100418.059,2575065.915,94615.72261,,1163.256123,1350.427891,1271.921709,2116.543606,2189.629785,119901.1653,1635.46928,1690433.312,111970.3737,19602547.61,653.6595242,88395.64189,2498.565878,604030.6886,651784.1365,45357.41115,533041.5612,12772.57882,115779.1685,742242.8922,25299.34621,13085.11242,15923.87572,279347.7343,12094.88581,,41937.78486,333374.658,7624.385031,4229.767554,39180.46488,210808.632,6011.50174,15132.00251,445901.3351,26885.20677,14281.47069,3466.977112,2522.191195,4377635.716,1580.589034,1355.88127,5489.729512,47087.28101,11057.09241,4030.870136,2462.563074,19648.80659,5813.283674,86036.33376,23641.90332,2329.857402,1509.38367,29713.19019,18321.20961,2537.9415,1960.650723,1808.612569,115968.2832,5966.993976,2448.323555,102305.0756,58213.31604,4844.869349,3406.564501,18848.04744,395749.6648,915991.8786,12113.64122,21549.77087,366092.7499,66960.10007,1525408.305,53721.11748,43543.17744,1285.646008,3111.406107,3599.093394,6122.543122,1215696.318,828897.4527,79232.20136,625723.0824,16312.57758,8124.165734,37591.63144,20169.27628,6016585.489,3830.666766,253082.6188,764009.3287,3361810.702,11773809.41,20269.4624
c_1mM_1,pos,cells,sample,vpa,1000,1426051.751,531059.7632,12654.12051,7845846.399,112173.5899,385368.025,9658410.224,1673033.68,361845.1983,42545.41078,1638.95886,855606.5354,4262130.981,3123434.746,1470670.875,2849641.806,196216.734,5622283.863,369583.911,33678.97948,801691.4748,12583403.14,3080318.715,4325789.115,184497.7813,4789.537943,726024.7729,21865.5768,25644.95496,35142.13615,15161.72804,122830.642,17959689.67,8649569.422,700289.5714,72054.15231,3592.09268,45589.21217,79362.11767,5547.311933,71044.52681,1280004.843,3456784.674,116836.0733,277.5946976,1452.760421,2686.927955,1492.203648,4242.374513,1541.138372,138522.4539,8135.38094,2261061.635,96182.02855,22109945.69,701.7203958,90421.65677,2316.94485,655318.7372,922175.2506,43577.72914,550707.772,13948.15191,65772.17216,802638.9612,34000.85187,13789.01959,36797.5443,395640.6384,19817.24558,255.6276956,54554.59399,457242.064,9350.460751,4206.61039,56838.91622,508627.3186,12794.7455,18288.52893,691333.7149,27158.81375,14362.56005,5353.514562,5803.43342,5498002.591,2817.558561,1864.804918,7347.68513,45758.24659,7779.452438,1462.2606,3836.435898,32763.39438,4180.793842,86428.24502,14345.79561,1859.305111,2699.05621,22870.19347,18456.11402,2516.849944,1727.924277,1458.915014,145771.1643,6282.995306,1360.798609,81782.06509,56130.08847,9312.967279,4732.582951,34465.66089,603254.5403,918778.4996,12873.52519,39010.82664,707020.439,61247.94117,2016848.976,85854.50864,47390.69717,844.1559804,3816.003524,4032.185971,13859.83843,1391144.945,885734.0756,78556.44874,714235.8293,38974.12526,1619.097205,56481.52417,20275.3561,5818323.003,5515.479901,240376.5968,766966.2762,3728420.395,10712441.76,20336.82941
c_1mM_2,pos,cells,sample,vpa,1000,1522392.636,514026.9286,16788.66515,7749455.44,116493.5144,460473.881,8838167.673,1708628.934,384337.9122,38975.25571,5287.832451,810932.3848,4708063.963,2999679.136,1579118.483,2765686.639,183685.3255,6019420.907,341960.6124,34647.92033,830210.2325,12164067.27,2613980.156,4238549.523,190877.5818,12618.72828,998063.7676,134413.4191,28709.33802,92061.89853,17955.77928,133888.4587,18520796.31,8936095.841,663286.7786,53227.94051,4345.614505,48252.62404,82570.10396,11813.75314,119232.4916,1465425.006,3423618.323,115779.6845,,1522.233121,1695.649432,2308.057447,3717.426945,1818.587432,117036.9273,6154.846131,2158486.983,113201.2637,20514702.31,806.2403591,83191.8585,2969.239963,749067.262,873439.1366,45675.86597,661390.6955,11513.25183,109319.1701,1034949.439,37691.01091,14183.1436,30566.5395,359879.9258,21398.43913,4264.278061,55272.84319,327358.3396,8997.394123,4273.607912,48819.88393,488244.5583,14875.95818,17754.77373,652557.1512,23946.79764,13437.51658,5056.485243,5731.458607,6227356.973,2531.309322,1583.827694,7157.774093,50823.75686,9714.171722,9989.204024,4476.94117,29688.75292,4426.718066,112010.2637,32523.40534,1921.074726,2917.587685,32651.78177,20584.69846,2241.401255,2136.836357,2516.262344,121064.2547,6132.882173,2372.329098,98636.92326,68692.70732,9030.710873,4881.876695,25567.48206,512724.8515,1196880.004,11496.39497,29697.69854,515087.3954,76247.22,1800915.01,71344.76935,44615.72149,2138.285247,4045.592688,4529.021213,10965.00533,1621922.218,1045402.919,86687.28711,842261.173,29100.35312,4244.977202,41376.7319,24298.90314,6559188.21,5410.070689,259983.8792,857317.544,4177017.638,11915283.66,22808.08361
c_1mM_3,pos,cells,sample,vpa,1000,1530289.724,516095.7896,14270.07059,7700102.3,98738.64074,346424.5574,5840460.346,1754987.45,360780.6411,33174.61504,2180.731502,561600.013,4189753.79,2579553.568,1515852.711,2412726.068,123818.3371,5769108.345,189294.6453,26717.72152,729576.0286,11804810.59,2589394.351,4172511.763,178004.2737,6060.980655,979897.4006,100797.9333,27002.67112,58617.51957,32827.16951,120463.8879,17713633.84,8129461.11,716690.4907,42540.65439,673.3477756,50069.93157,73837.08348,5451.4206,68932.56909,1244175.408,3111865.378,105518.1026,,262.5471734,998.6334826,509.3774913,3619.270702,869.1676194,110737.6117,,1963849.068,83664.91873,20306769.49,375.0526805,92894.82663,1654.662163,710658.6378,808804.2084,43385.14993,580814.2683,8497.168947,144928.0522,799720.5649,33524.9909,11765.52043,24403.76275,287639.2506,20333.99224,1517.257515,48144.62756,269604.7042,7394.305709,4022.339729,55306.69466,260846.9684,8857.996142,15244.53391,552188.1511,37975.93365,15834.72191,3910.271486,2151.4806,4626319.911,1570.192596,1453.491059,5360.626643,44802.19609,11947.41755,6388.297122,1901.439802,22157.85699,7504.254963,93844.43674,28072.87755,3038.866751,2407.622398,39224.79157,18989.53707,2034.335112,2202.04489,3818.168031,139334.5329,6511.564201,3095.461391,175277.9768,66118.95012,18558.05484,4219.423014,25893.25394,549021.0388,1009000.382,12524.23438,28016.74709,540561.6577,73243.00528,1980384.325,71700.63651,51920.92133,1055.640296,3295.979388,3742.444556,5340.278386,1302857.042,858078.7708,122037.0833,651082.7942,16922.14197,11842.06845,47923.65554,19282.07835,7538100.907,4343.55862,317613.3268,983198.6541,5312597.224,14118511.95,20697.47368
Solv2,pos,cells,solv,solv,solv,46495.71848,15267.44791,2992.381334,13313.81145,414.6319704,11019.10218,537.221492,8812.985565,,7566.8232,171.1341651,28789.78128,30957.51252,30307.34577,642537.337,8884.424705,5870.544519,9169.218611,18337.27896,13088.62029,17962.35193,265517.5773,,,7419.041766,3276.268488,29585.46425,22905.4405,148.2297256,10296.60619,327.4274122,184.6179166,16537.6763,18397.6422,12747.47343,,,,14321.33237,,,16194.21367,37824.85635,19750.81412,,,,,159.84953,,12157.87328,,11163.69377,23355.45523,427.6411962,,1714.563554,,16879.86753,8415.402011,18996.752,159.4538022,,5330.459873,25432.14873,,1561.432318,2170.096847,6035.942305,,,4077.381451,8091.956177,1935.095591,,778.2320652,973.5421511,715.8813789,685.9826487,545.9175172,6153.679915,10000.49603,403.0399911,,627.2369398,156.5616939,,286.4335927,,617.8345144,508.3660745,82.86257219,1636.032728,,,1785.950663,,,3588.792047,,,,,148.8618277,70.52355433,,,,,,3317.050181,3028.106986,,419.6415151,3495.18906,324.7754865,,2053.30985,73.29170943,,,,,74.48657219,,,,554.6184586,,872.0203086,,,,,,,81.09609407,,
Solv3,pos,cells,solv,solv,solv,64891.07936,31088.13615,4307.297889,29261.69522,6226.393718,10885.17393,224227.4684,8360.639996,,10321.98307,197.3819062,32446.13994,21482.21215,28094.44056,662346.4211,9855.997168,8636.945871,11640.6044,14130.96066,9316.708334,10844.14444,355240.4641,4086.368472,4998.329183,6717.778328,6760.450432,33215.15977,25505.62179,1031.600282,12117.98948,697.6573427,184.4673141,53071.56528,46397.26971,12827.80915,,,89.18249377,5278.3372,,,18074.39104,42247.84312,22690.41432,,,,,219.6413788,73.3310582,13365.98796,,12646.76201,25695.62205,165902.9696,,4025.992758,,16310.33023,11431.7059,11658.659,3870.935401,,16541.36445,26569.24499,,1653.205708,1611.545521,9190.440676,,,4774.483165,14708.13593,2493.339796,,283.2865653,2817.10444,1500.176373,1108.306268,499.0174758,5552.269122,7936.877617,400.6485492,,109844.4811,77.84204402,334.8440656,2345.275263,1905.393643,8767.15405,1242.503457,76.6709375,1250.972209,284.8682757,263.049654,1981.573367,161.8175543,,4347.462352,5595.014004,,72.57155045,,80.7263056,,,6989.447108,884.5198874,,,4046.523833,5306.397382,34383.52729,219.4406378,3610.82152,667.8231267,3357.598237,4930.168934,78.30987461,,,,,,4947.011825,4952.187474,1071.334829,8124.628432,874.992646,840.1425578,,,1403.115524,76.55315213,,,224.3839504,5546.831455,
Solv4,pos,cells,solv,solv,solv,46137.32878,15750.8926,2658.552415,12288.12315,437.7203712,5407.551205,,8659.690991,,10300.37025,373.5934906,23580.43949,29677.09765,27303.18846,643110.9589,5405.99434,3792.60244,9314.808281,14663.20863,9348.233208,20124.92642,280903.4878,,,9973.553967,3033.96165,47875.41083,20717.7236,1871.022315,11253.07714,80.11339839,280.1398991,20292.78776,15906.53198,13822.20404,,,,8274.260475,,,16484.00144,47966.29847,20075.30997,,,,,,95.41122995,9842.542686,,10319.17829,22404.75111,203.20525,,1226.638377,,15349.3201,13106.85673,16400.2179,154.6011794,,5827.559926,25792.1532,73.39161328,1268.97026,1507.317353,7681.736626,,,4003.523887,8200.901087,1971.203979,,896.2560538,1430.869701,270.3563504,803.6598352,427.8613514,5862.366327,8664.580149,236.7355304,,665.4124967,236.971,,255.8825564,,596.8482682,1305.355287,,1937.328492,,,1698.36652,,,4365.213435,,,,,84.61374758,40.22107044,,,,,,3230.876384,2553.847229,,221.9986092,4503.266199,725.3005693,,2047.398336,74.61250145,,,,,,,,,840.4293145,,1109.153942,,,75.12843605,,,,72.81202081,,
