compound_short,term,estimate,statistic,p.value,lod,adj_pval,FC,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPA_FAnC101,vpa_lowFA,-0.6012871317845931,-5.525503347607195,1.9215365253236068e-5,2.012063722609163,0.007551638544521774,0.6591656040282164,down,GalNAc,C8 H15 N O6,221.085,3.65,1811-31-0
VPA_FAnC102,vpa_lowFA,0.3534000803152324,4.945208457627194,7.329762300599189e-5,0.6565301519596254,0.02880596584135481,1.2775679982602488,up,Cystathionine,C7 H14 N2 O4 S,222.071,11.7,56-88-2
VPA_FAnC107,vpa_lowFA,-1.0519793972839153,-15.032271459395604,1.5981203904969348e-12,18.731410432461626,6.280613134652954e-10,0.4823059799169216,down,Thymidine,C10 H14 N2 O5,242.096,3.69,50-89-5
VPA_FAnC109,vpa_lowFA,-0.9137467815368048,-4.789890799108512,1.0536983080280691e-4,0.29055659129308076,0.041410343505503114,0.5308047619110305,down,Uridine,C9 H12 N2 O6,244.073,1.73,58-96-8
VPA_FAnC116,vpa_lowFA,-1.2466746168845937,-6.672757114130836,1.5162664208772148e-6,4.600736159868818,5.958927034047454e-4,0.42141845007245987,down,Inosine,C10 H12 N4 O5,268.083,2.64,58-63-9
VPA_FAnC123,vpa_lowFA,-1.195155086216051,-6.6682337264829386,1.5310313281550726e-6,4.590825645447234,6.016953119649435e-4,0.4367394969987002,down,Guanosine,C10 H13 N5 O5,283.094,3.07,118-00-3
VPA_FAnC132,vpa_lowFA,-0.4708642728256329,-6.487548027027818,2.259646686130526e-6,4.192894504938643,8.880411476492968e-4,0.7215322212014599,down,Neu5Ac,C11 H19 N O9,309.109,5.22,131-48-6
VPA_FAnC135,vpa_lowFA,-1.0650244726602587,-10.745282244793394,7.269097626664613e-10,12.450793280107874,2.8567553672791926e-7,0.4779645509411223,down,UMP,C9 H13 N2 O9 P,324.04,9.62,58-97-9
VPA_FAnC138,vpa_lowFA,-0.37529511440002494,-9.560855631167748,5.420657673454848e-9,10.384087289799066,2.130318465667755e-6,0.7709476932751609,down,3-Phosphoglyceroinositol,C9 H19 O11 P,334.067,6.9,00-00-006
VPA_FAnC139,vpa_lowFA,-0.9549307718552775,-6.586370248375704,1.825368177676843e-6,4.411029778756907,7.173696938269994e-4,0.5158663430545655,down,AMP,C10 H14 N5 O7 P,347.068,10.42,61-19-8
VPA_FAnC140,vpa_lowFA,-1.1704130876513634,-7.383455906519108,3.4213385065460315e-7,6.125447424410664,1.3445860330725903e-4,0.444294107396706,down,GMP,C10 H14 N5 O8 P,363.061,10.4,85-32-5
VPA_FAnC146,vpa_lowFA,-0.6716544293229045,-6.304579800929958,3.3658213433164088e-6,3.785929906330969,0.0013227677879233486,0.6277863521395396,down,dTDP,C10 H16 N2 O11 P2,402.015,9.62,491-97-4
VPA_FAnC15,vpa_lowFA,-0.5913535394193303,-12.422048147580936,5.4617119212117924e-11,15.11145061697233,2.1464527850362345e-8,0.6637199114762824,down,Glyceric Acid,C3 H6 O4,106.028,2.94,473-81-4
VPA_FAnC152,vpa_lowFA,1.3449444420808678,7.9624109106456,1.069619493431923e-7,7.318560531539646,4.2036046091874575e-5,2.5402041404024662,up,5-Methyl-DHF,C20 H23 N7 O6,457.171,9.65,59904-24-4
VPA_FAnC156,vpa_lowFA,0.5163760535162645,5.262784624428554,3.50960630885691e-5,1.401174146762287,0.013792752793807657,1.4303577754531918,up,dTTP,C10 H17 N2 O14 P3,481.992,10.37,365-08-2
VPA_FAnC157,vpa_lowFA,0.47904274648298006,5.237535246107768,3.720070940180136e-5,1.3421937263528392,0.014619878794907934,1.3938185363671478,up,CTP,C9 H16 N3 O14 P3,482.987,11.28,65-47-4
VPA_FAnC158,vpa_lowFA,0.42600592649176505,6.1040299120297234,5.234409139650748e-6,3.335405275604959,0.002057122791882744,1.3435089447520812,up,UTP,C9 H15 N2 O15 P3,483.972,10.33,63-39-8
VPA_FAnC160,vpa_lowFA,0.41076954969573265,6.438536151104541,2.5131241335328272e-6,4.08427024567821,9.876577844784012e-4,1.3293947390510004,up,ATP,C10 H16 N5 O13 P3,507,10.95,56-65-5
VPA_FAnC167,vpa_lowFA,1.5415284036981447,21.112933886762814,2.308939773658293e-15,25.370263547437954,9.074133310477092e-13,2.9110273693883784,up,ADP-Glucose,C16 H25 N5 O15 P2,589.077,7.44,102129-65-7
VPA_FAnC173,vpa_lowFA,-0.7958029527938191,-5.9568643169550874,7.260238007539319e-6,3.001975809968352,0.0028532735369629523,0.5760224905180076,down,NADH,C21 H29 N7 O14 P2,665.124,6.94,59-68-4
VPA_FAnC19,vpa_lowFA,-0.3142813424587061,-4.8510329354054855,9.132341574430204e-5,0.434731698350145,0.035890102387510704,0.8042515171669041,down,Thiosulfate,H2 O3 S2,113.945,4.68,14383-50-7
VPA_FAnC20,vpa_lowFA,0.6830892143390024,11.434178229679311,2.425564612140334e-10,13.579432422933106,9.532468925711512e-8,1.605574060922668,up,Proline,C5 H9 N O2,115.066,9.19,147-85-3
VPA_FAnC33,vpa_lowFA,-0.6842651641010811,-5.6715122365059925,1.379025733653148e-5,2.34910541373619,0.0054195711332568714,0.6223227256627489,down,Ketoleucine,C6 H10 O3,130.063,1.31,816-66-0
VPA_FAnC35,vpa_lowFA,-0.35580052771569726,-6.229245019260823,3.970784220701392e-6,3.6172294572514314,0.001560518198735647,0.7814359168866241,down,N-Acetylalanine,C5 H9 N O3,131.059,4.04,97-69-8
VPA_FAnC43,vpa_lowFA,0.5517020833373891,9.549749623119839,5.528025903568518e-9,10.363912659093966,2.1725141801024276e-6,1.4658140351970994,up,Aspartic Acid,C4 H7 N O4,133.04,8.38,56-84-8
VPA_FAnC49,vpa_lowFA,1.211386634794156,8.761609767484494,2.3116328307765314e-8,8.892613548076582,9.084717024951769e-6,2.3156009198788983,up,"2,4-diene-Valproic acid",C8 H12 O2,140.081,3.15,72010-18-5
VPA_FAnC54,vpa_lowFA,-0.4497007827155599,-6.177726973612108,4.447783124234909e-6,3.501489741295863,0.0017479787678243192,0.7321946905889152,down,N-Acetylserine,C5 H9 N O4,147.053,3.29,16354-58-8
VPA_FAnC62,vpa_lowFA,0.3308962033408598,6.096807150659786,5.3188109909393604e-6,3.319095601366353,0.0020902927194391685,1.2577944748444432,up,3-Sulfinoalanine,C3 H7 N O4 S,153.011,6.9,1115-65-7
VPA_FAnC67,vpa_lowFA,0.5266689819792756,10.577355552392849,9.571986494258276e-10,12.16772881664788,3.7617906922435026e-7,1.4405991737789494,up,2-Aminoadipic Acid,C6 H11 N O4,161.071,9.37,542-32-5
VPA_FAnC73,vpa_lowFA,0.29889718202514537,4.72350220963654,1.2311026978090763e-4,0.13388308952427952,0.0483823360238967,1.230203667484979,up,Cysteic Acid,C3 H7 N O5 S,169.004,4.15,498-40-8
VPA_FAnC74,vpa_lowFA,-0.6975015732511309,-8.16802560965521,7.154460275606475e-8,7.731578479620026,2.811702888313345e-5,0.6166391643429802,down,G3P,C3 H7 O6 P,170.002,10.68,591-57-1
VPA_FAnC79,vpa_lowFA,0.3559640958138246,8.284676679694275,5.709169554926942e-8,7.963404254802981,2.243703635086288e-5,1.2798405622025408,up,N-Acetylaspartic Acid,C6 H9 N O5,175.038,7.91,997-55-7
VPA_FAnC8,vpa_lowFA,-1.828703953431262,-6.122241253833297,5.027639621318738e-6,3.3765026709984127,0.001975862371178264,0.2815174090620565,down,Lactic Acid,C3 H6 O3,90.034,2.29,79-33-4
VPA_FAnC82,vpa_lowFA,-0.42452607997552505,-7.220479897104011,4.784921186019018e-7,5.781586620545113,1.8804740261054738e-4,0.7450834485423133,down,myo-Inositol,C6 H12 O6,180.065,5.23,87-89-8
VPA_FAnC86,vpa_lowFA,-1.4774506814458306,-19.71732142693865,8.784716509635295e-15,24.023464698330734,3.452393588286671e-12,0.359122840739466,down,D-Galactitol,C6 H14 O6,182.081,3.67,608-66-2
VPA_FAnC91,vpa_lowFA,-0.7102446972370924,-14.26222497491081,4.2839394531018535e-12,17.722329021375725,1.6835882050690284e-9,0.6112164608964311,down,Galacturonic Acid,C6 H10 O7,194.043,5.27,685-73-4
VPA_FAnC101,vpa_highFA,-0.5529885410045541,-5.098250680865763,5.13466300490128e-5,1.0208515360133923,0.02017922560926203,0.6816067174654034,down,GalNAc,C8 H15 N O6,221.085,3.65,1811-31-0
VPA_FAnC102,vpa_highFA,0.47488896309008766,6.666918603317829,1.5353517430104974e-6,4.592523582935568,6.033932350031255e-4,1.389811249012843,up,Cystathionine,C7 H14 N2 O4 S,222.071,11.7,56-88-2
VPA_FAnC107,vpa_highFA,-0.8835161873911428,-12.66621931290061,3.831995971785979e-11,15.478853786366223,1.5059744169118898e-8,0.5420447294596857,down,Thymidine,C10 H14 N2 O5,242.096,3.69,50-89-5
VPA_FAnC116,vpa_highFA,-1.2526301670464264,-6.726516063343856,1.351597590590676e-6,4.722896647197723,5.311778531021357e-4,0.419682389786855,down,Inosine,C10 H12 N4 O5,268.083,2.64,58-63-9
VPA_FAnC123,vpa_highFA,-1.0545941339343976,-5.903193486394947,8.185517844033964e-6,2.884473483697681,0.003216908512705348,0.481432641500381,down,Guanosine,C10 H13 N5 O5,283.094,3.07,118-00-3
VPA_FAnC135,vpa_highFA,-1.0558843379343266,-10.687834134248472,7.983966865362548e-10,12.35824415204602,3.1376989780874815e-7,0.48100228814158275,down,UMP,C9 H13 N2 O9 P,324.04,9.62,58-97-9
VPA_FAnC138,vpa_highFA,-0.37281797313411147,-9.528747257207083,5.737149340959266e-9,10.329866132291045,2.2546996909969914e-6,0.7722725656626999,down,3-Phosphoglyceroinositol,C9 H19 O11 P,334.067,6.9,00-00-006
VPA_FAnC139,vpa_highFA,-0.8794636253690076,-6.085653919475981,5.451891476236752e-6,3.2985486232426364,0.0021425933501610433,0.5435694855310547,down,AMP,C10 H14 N5 O7 P,347.068,10.42,61-19-8
VPA_FAnC140,vpa_highFA,-0.999526904122364,-6.326013607595775,3.211616213209696e-6,3.8384290250289137,0.0012621651717914105,0.5001639894235113,down,GMP,C10 H14 N5 O8 P,363.061,10.4,85-32-5
VPA_FAnC146,vpa_highFA,-0.7414493616675504,-6.982434587650007,7.860289841365031e-7,5.277643818792248,3.0890939076564576e-4,0.5981381482521257,down,dTDP,C10 H16 N2 O11 P2,402.015,9.62,491-97-4
VPA_FAnC15,vpa_highFA,-0.5576384820598861,-11.752056241221947,1.4858846859196097e-10,14.086880469420574,5.839526815664066e-8,0.6794133718406018,down,Glyceric Acid,C3 H6 O4,106.028,2.94,473-81-4
VPA_FAnC152,vpa_highFA,0.900806791177164,5.350409350301495,2.8686720575023467e-5,1.6102389294965747,0.011273881185984222,1.8671098257227827,up,5-Methyl-DHF,C20 H23 N7 O6,457.171,9.65,59904-24-4
VPA_FAnC156,vpa_highFA,0.5309826874815009,5.429314276531574,2.3938149319388333e-5,1.793744248128819,0.009407692682519614,1.444913058684503,up,dTTP,C10 H17 N2 O14 P3,481.992,10.37,365-08-2
VPA_FAnC158,vpa_highFA,0.36112957025915904,5.191336498418079,4.138982101589923e-5,1.2389114166165385,0.016266199659248397,1.284431160190079,up,UTP,C9 H15 N2 O15 P3,483.972,10.33,63-39-8
VPA_FAnC160,vpa_highFA,0.4670083381948267,7.343932026087397,3.710073911955759e-7,6.046868247781868,1.4580590473986133e-4,1.3822401952957255,up,ATP,C10 H16 N5 O13 P3,507,10.95,56-65-5
VPA_FAnC161,vpa_highFA,0.3785883931289806,4.9486744792507835,7.27077271680136e-5,0.6694533411051022,0.028574136777029344,1.3000691785099323,up,GTP,C10 H16 N5 O14 P3,522.993,10.95,86-01-1
VPA_FAnC167,vpa_highFA,1.528853118150554,21.007672431091187,2.5464932303679885e-15,25.272755126855234,1.0007718395346196e-12,2.88556357740509,up,ADP-Glucose,C16 H25 N5 O15 P2,589.077,7.44,102129-65-7
VPA_FAnC20,vpa_highFA,0.7735475076174083,12.990612780875539,2.4128012096175473e-11,15.953627603511343,9.482308753796961e-9,1.70946810758678,up,Proline,C5 H9 N O2,115.066,9.19,147-85-3
VPA_FAnC43,vpa_highFA,0.49681566363576124,8.627754092128944,2.9704871505390753e-8,8.63912562037935,1.1674014501618566e-5,1.4110955330649892,up,Aspartic Acid,C4 H7 N O4,133.04,8.38,56-84-8
VPA_FAnC49,vpa_highFA,0.8536410922997,6.194290348891057,4.288330942907691e-6,3.543370331964228,0.0016853140605627226,1.8070558457056403,up,"2,4-diene-Valproic acid",C8 H12 O2,140.081,3.15,72010-18-5
VPA_FAnC54,vpa_highFA,-0.4577269509858297,-6.308508154073544,3.3370005069780625e-6,3.799332267784413,0.0013114411992423787,0.7281325701263047,down,N-Acetylserine,C5 H9 N O4,147.053,3.29,16354-58-8
VPA_FAnC62,vpa_highFA,0.29949320081642483,5.536212585963084,1.8752016717357004e-5,2.041557466304374,0.007369542569921303,1.2307120049790823,up,3-Sulfinoalanine,C3 H7 N O4 S,153.011,6.9,1115-65-7
VPA_FAnC67,vpa_highFA,0.5708811676973742,11.502710656833163,2.1805089649085633e-10,13.692686761762715,8.569400232090654e-8,1.4854305632678064,up,2-Aminoadipic Acid,C6 H11 N O4,161.071,9.37,542-32-5
VPA_FAnC73,vpa_highFA,0.37326333675069634,5.917969921379937,7.919337952312153e-6,2.9181375994085297,0.0031122998152586763,1.2952794060867736,up,Cysteic Acid,C3 H7 N O5 S,169.004,4.15,498-40-8
VPA_FAnC74,vpa_highFA,-0.4766794599969746,-5.600327890822259,1.6206587592028138e-5,2.1897254831940156,0.006369188923667058,0.71862973669643615,down,G3P,C3 H7 O6 P,170.002,10.68,591-57-1
VPA_FAnC79,vpa_highFA,0.2724263254851529,6.36111956434603,2.9745323773679067e-6,3.916726955145659,0.0011689912243055874,1.2078374623443078,up,N-Acetylaspartic Acid,C6 H9 N O5,175.038,7.91,997-55-7
VPA_FAnC82,vpa_highFA,-0.39153009984701725,-6.681007510631245,1.4897121000630296e-6,4.623383838470261,5.854568553247706e-4,0.7623206701778303,down,myo-Inositol,C6 H12 O6,180.065,5.23,87-89-8
VPA_FAnC86,vpa_highFA,-1.3065390751267998,-17.493328174250443,8.910192568688103e-14,21.677533648669833,3.5017056794944246e-11,0.40428957975454993,down,D-Galactitol,C6 H14 O6,182.081,3.67,608-66-2
VPA_FAnC91,vpa_highFA,-0.7453540236273373,-15.016094760077605,1.6308529783878036e-12,18.713586540399252,6.409252205064068e-10,0.5965214728641343,down,Galacturonic Acid,C6 H10 O7,194.043,5.27,685-73-4
