,Experiment,Folate,Status,Glycine,Trimethylamine N-oxide,Alanine,Sarcosine,Succinic Semialdehyde,3-Aminoisobutyric Acid (BAIBA),4-Aminobutyric Acid (GABA),2-Aminobutyric Acid,Choline,Serine,Hypotaurine,Uracil,Creatinine,1-Pyrroline-2-carboxylic Acid,Proline,Valine,Betaine,Threonine,Nicotinamide,Taurine,Thymine,trans-4-Hydroxyproline,Creatine,Leucine,Isoleucine,Glutaric Acid,Asparagine,3-Ureidopropionic Acid,Ornithine,Aspartic Acid,Adenine,Hypoxanthine,Urocanic Acid,O-Phosphoethanolamine,Deoxycarnitine,Spermidine,Glutamine,Lysine,Glutamic Acid,Methionine,Guanine,Histidine,Allantoin,2-Aminoadipic Acid,Carnitine,Phenylalanine,Quinolinic Acid,Arginine,Tyrosine,Phosphocholine,Acetylcarnitine,Tryptophan,Kynurenine,Phosphocreatine,Glycerylphosphorylethanolamine,Propionylcarnitine,Butyrylcarnitine,Cytidine,Uridine,Biotin,Valerylcarnitine,Glycerol-3-phosphocholine,Glycerol 1-phosphoserine,L-Hexanoylcarnitine,Adenosine,Inosine,gamma-Linolenic Acid,Guanosine,Leukotoxin A,5'-Methylthioadenosine,Sphingosine,Glutathione,13(S)-HpODE,CMP,UMP,Oleoyl ethanolamide,Adrenic Acid (22:4 n-6),3-Phosphoglyceroinositol,Corticosterone,AMP,Mead Ethanolamide,GMP,Tetradecanoylcarnitine,Succinoadenosine,S-Adenosylhomocysteine (SAH),Hexadecenoylcarnitine,S-Adenosylmethionine (SAM),Palmitoylcarnitine,Cytidine diphosphate (CDP),Linolenyl carnitine,Linoleyl carnitine,Oleoylcarnitine,Cysteineglutathione disulfide,ADP,Stearoylcarnitine,GDP,LysoPC(16:1),LysoPC(16:0),ATP,LysoPC(18:2),LysoPC(18:1),LysoPC(18:0),PAF C-16,PAF C18:1,PAF C18,ADP-Ribose,Protoporphyrin,UDP-N-Acetylglucosamine,GSSG,NAD,NADH,Sphingomyelin,PC(34:2),Arachidonoyl-PAF,PC(36:4),PC(36:2)
Formula_ko_exp1,ko_exp1,info,info,C2 H5 N O2,C3 H9 N O,C3 H7 N O2,C3 H7 N O2,C4 H6 O3,C4 H9 N O2,C4 H9 N O2,C4 H9 N O2,C5 H13 N O,C3 H7 N O3,C2 H7 N O2 S,C4 H4 N2 O2,C4 H7 N3 O,C5 H7 N O2,C5 H9 N O2,C5 H11 N O2,C5 H11 N O2,C4 H9 N O3,C6 H6 N2 O,C2 H7 N O3 S,C5 H6 N2 O2,C5 H9 N O3,C4 H9 N3 O2,C6 H13 N O2,C6 H13 N O2,C5 H8 O4,C4 H8 N2 O3,C4 H8 N2 O3,C5 H12 N2 O2,C4 H7 N O4,C5 H5 N5,C5 H4 N4 O,C6 H6 N2 O2,C2 H8 N O4 P,C7 H15 N O2,C7 H19 N3,C5 H10 N2 O3,C6 H14 N2 O2,C5 H9 N O4,C5 H11 N O2 S,C5 H5 N5 O,C6 H9 N3 O2,C4 H6 N4 O3,C6 H11 N O4,C7 H15 N O3,C9 H11 N O2,C7 H5 N O4,C6 H14 N4 O2,C9 H11 N O3,C5 H14 N O4 P,C9 H17 N O4,C11 H12 N2 O2,C10 H12 N2 O3,C4 H10 N3 O5 P,C5 H14 N O6 P,C10 H19 N O4,C11 H21 N O4,C9 H13 N3 O5,C9 H12 N2 O6,C10 H16 N2 O3 S,C12 H23 N O4,C8 H20 N O6 P,C6 H14 N O8 P,C13 H25 N O4,C10 H13 N5 O4,C10 H12 N4 O5,C18 H30 O2,C10 H13 N5 O5,C18 H32 O3,C11 H15 N5 O3 S,C18 H37 N O2,C10 H17 N3 O6 S,C18 H32 O4,C9 H14 N3 O8 P,C9 H13 N2 O9 P,C20 H39 N O2,C22 H36 O2,C9 H19 O11 P,C21 H30 O4,C10 H14 N5 O7 P,C22 H39 N O2,C10 H14 N5 O8 P,C21 H41 N O4,C14 H17 N5 O8,C14 H20 N6 O5 S,C23 H43 N O4,C15 H22 N6 O5 S,C23 H45 N O4,C9 H15 N3 O11 P2,C25 H43 N O4,C25 H45 N O4,C25 H47 N O4,C13 H22 N4 O8 S2,C10 H15 N5 O10 P2,C25 H49 N O4,C10 H15 N5 O11 P2,C24 H48 N O7 P,C24 H50 N O7 P,C10 H16 N5 O13 P3,C26 H50 N O7 P,C26 H52 N O7 P,C26 H54 N O7 P,C26 H54 N O7 P,C28 H56 N O7 P,C28 H58 N O7 P,C15 H23 N5 O14 P2,C34 H34 N4 O4,C17 H27 N3 O17 P2,C20 H32 N6 O12 S2,C21 H27 N7 O14 P2,C21 H29 N7 O14 P2,C41 H83 N2 O6 P,C42 H80 N O8 P,C44 H82 N O7 P,C44 H80 N O8 P,C44 H84 N O8 P
Mass_ko_exp1,ko_exp1,info,info,75.029,75.068,89.044,89.044,102.038,103.058,103.062,103.063,103.1,105.036,109.015,112.026,113.054,113.054,115.06,117.076,117.076,119.057,122.045,125.009,126.046,131.053,131.065,131.088,131.091,132.05,132.05,132.056,132.088,133.034,135.05,136.036,138.042,141.019,145.109,145.157,146.066,146.105,147.051,149.045,151.046,155.069,158.044,161.068,161.104,165.079,167.021,174.112,181.073,183.066,203.113,204.087,208.081,211.035,215.056,217.128,231.146,243.078,244.069,244.086,245.161,257.102,259.045,259.174,267.094,268.082,278.219,283.089,296.233,297.088,299.275,307.081,312.227,323.051,324.031,325.291,332.278,334.062,346.21,347.062,349.299,363.057,371.301,383.107,384.119,397.314,398.138,399.331,403.018,421.32,423.33,425.346,426.088,427.028,427.36,443.021,493.314,495.33,506.994,519.329,521.344,523.359,523.361,549.374,551.389,559.067,562.256,607.079,612.151,663.106,665.121,730.593,757.562,767.58,781.562,785.593
RT_ko_exp1,ko_exp1,info,info,8.73,14.89,8.27,9.38,2.92,9.58,11.36,7.8,24.21,8.12,8.73,1.65,8.37,8.35,8.99,7.31,9.77,7.74,1.86,4.7,1.56,8.18,9.37,6.57,6.79,8.44,8.44,5.86,23.56,8.23,3.62,2.43,2.53,14.46,17.32,24.26,8.63,23.54,8.47,6.51,6.51,10.48,1.73,9.24,13.84,6.08,8.26,23.56,6.26,18.25,13.22,5.91,5.85,11.25,10.24,12.24,11.33,4.89,1.68,4.9,10.73,14.16,7.94,10.21,2.62,2.52,1.25,2.92,1.39,1.86,9.4,8.3,1.47,10.8,9.47,1.16,1.18,6.75,1.18,10.25,1.23,10.27,9.29,7.68,8.68,9.21,20.19,9.2,11.02,9.18,9.17,9.12,10.67,10.68,9.11,10.78,9.07,9.01,10.93,8.93,8.84,8.82,8.51,8.75,8.7,7.54,2.65,6.9,10.56,9.36,7.54,8.2,7.17,7.05,6.99,7.07
CAS_ID,ko_exp1,info,info,56-40-6,1184-78-7,56-41-7,107-97-1,692-29-5,144-90-1,56-12-2,1492-24-6,62-49-7,56-45-1,300-84-5,66-22-8,60-27-5,02139-03-9,147-85-3,72-18-4,107-43-7,72-19-5,98-92-0,107-35-7,65-71-4,51-35-4,57-00-1,61-90-5,73-32-5,110-94-1,70-47-3,462-88-4,70-26-8,56-84-8,73-24-5,68-94-0,104-98-3,1071-23-4 ,407-64-7,124-20-9,56-85-9,56-87-1,56-86-0,63-68-3,73-40-5,71-00-1,97-59-6,542-32-5,541-15-1,63-91-2,89-00-9,74-79-3,60-18-4,107-73-3,5080-50-2,73-22-3,2922-83-0,67-07-2,1190-00-7,20064-19-1,25576-40-6,65-46-3,58-96-8,58-85-5,00-00-003,28319-77-9,26289-09-8,22671-29-0,58-61-7,58-63-9,506-26-3,118-00-3,6814-52-4,2457-80-9,123-78-4,70-18-8,33964-75-9,63-37-6,58-97-9,111-58-0,28874-58-0,00-00-006,50-22-6,61-19-8,169232-04-6,85-32-5,25597-07-3,4542-23-8,979-92-0,00-00-009,29908-03-0,2364-67-2,63-38-7,00-00-010,36816-10-1,38677-66-6,13081-14-6,58-64-0,1976-27-8,146-91-8,00-00-014,00-00-015,56-65-5,00-00-017,00-00-018,00-00-019,74389-68-7,86288-90-1,79549-26-1,20762-30-5,553-12-8,528-04-1,27025-41-8,53-84-9,59-68-4,85187-10-6,8002-43-5,86288-11-1,00-00-021,00-00-022
p76_2,ko_exp1,2ppm,N wt/wt,2541508.537,128011.7794,9155123.982,1939355.791,31239.19611,173888.1899,56750.77395,1323567.878,43404930.55,4587086.619,1302125.933,1996694.45,974954.2633,663393.878,40652637.6,8327339.887,14342956.65,5246191.937,684707.9442,29856893.89,109703.7968,2137628.115,41550309.07,9341135.645,5975937.324,2573606.454,5341217.497,202358.3596,430933.4757,2695692.085,234793.8121,8325511.554,485253.5511,920536.7743,377423.6139,44833.3274,24463350.43,2626318.919,21094919.19,4167021.906,224305.274,978701.1122,515970.7773,659744.704,22268744.42,9099340.675,12816.62886,2805559.619,4520842.033,40033340.01,5565107.916,849797.0479,203094.7637,342990.1723,63883.53473,358594.0887,3395480.183,865991.9436,1495203.052,89860.68232,256426.374,15014388.8,17303.62264,31987.93544,1141304.267,2808589.311,76165.55784,389908.3651,53046.51969,1849935.238,25556.38762,6046751.799,68403.05308,124009.7371,1232706.249,7445.815734,26820.55205,33705.34332,10685.50762,1143965.084,81446.1841,75711.39489,25531.42652,440465.6808,1131007.642,14491.40751,640310.0009,37620.94794,157839.0928,2114.397893,51982.82819,73586.92122,9516.838169,1237759.219,29447.20474,139410.6903,30243.84648,398084.3753,1684353.824,74101.96868,192420.2992,1117933.315,216794.1408,14834.32388,15702.47474,364790.0839,124799.2644,1698797.165,1248185.445,1507345.044,28743.6674,257838.4945,19877672.96,886581.8236,16771220.55,12319869.47
p101_1,ko_exp1,2ppm,N wt/wt,1781214.835,40797.78906,8005442.822,1766960.38,28932.82849,171107.1758,35139.02683,588483.3834,31318435.19,3166951.253,603056.2136,2465281.513,887669.6333,834373.7506,35474321.22,12451484.91,10894631.46,6922106.232,335391.2315,18521391.96,197200.7892,1219762.584,37457899.39,11481892.49,9010409.617,2259060.393,3616308.331,142131.446,381539.7171,1421537.417,2001956.409,9271506.461,152337.8586,307462.875,152288.6445,47694.67047,24195776.9,2148349.365,12808343.81,6135664.253,271675.8908,874342.7945,437632.3011,317531.162,12538552.2,11915436.14,21133.18896,4689363.396,7789618.441,9607817.04,3079108.7,1185473.341,245674.7235,27116.94753,10198.82302,278319.4011,1916797.595,1664686.843,1121695.67,194440.3021,292680.943,2655159.743,7041.194911,44821.10099,651845.8152,2244083.847,112285.0419,163731.2155,219695.2275,717735.923,42025.66232,524207.9451,120283.4962,45899.4858,428811.5898,27801.75565,61881.41606,18163.10278,220532.5517,553142.3892,411541.87,35403.3737,103631.892,141963.1103,380111.1783,71753.46662,770854.7597,215335.9537,22581.36116,9271.614201,117601.3844,230306.2356,17965.33568,289076.5997,96504.12251,29314.7541,118498.1255,1608475.377,159162.6548,605308.092,1021563.461,2779455.666,545850.7663,61888.31195,15608.02133,57198.63289,147747.8825,532227.3414,302478.0243,685009.3722,10196.93944,68968.11387,19364399.38,752249.6932,18601861.6,7158886.012
p78_7,ko_exp1,2ppm,N wt/wt,1389489.174,29384.57896,6268708.49,1333964.405,27323.8231,147840.9393,27863.70026,417445.7455,25725491.16,2304854.355,490888.8636,1572540.996,454921.5927,501784.2449,25585736.6,7887014.251,5185391.476,4546307.841,571046.5163,12987655.43,261319.7226,685722.0438,27701414.64,8194547.175,5756846.743,1766056.767,2240269.745,67916.66689,461877.8914,870583.056,1086256.352,9547439.339,84986.32489,189995.7662,85603.35978,32111.15836,19848618.53,1823049.555,11825315.26,3775263.787,184132.3012,545801.5482,277182.1005,232743.7695,5726596.272,7822881.169,17341.84939,1978898.416,5113926.125,13837802.81,942860.8485,1086566.455,207444.1513,3850.232643,7110.500352,86863.59546,551709.824,972607.8595,1114542.977,149145.1604,134132.6578,1710734.483,4463.104582,13654.25528,701586.2438,3274373.132,85301.05255,291154.0419,171799.1692,420679.4758,25712.69228,489560.8704,79695.13737,36984.75303,445710.5482,34801.29767,44011.39197,12822.89806,177358.353,649719.4308,310522.0576,58067.68381,75526.05992,206451.4315,217017.2423,47184.86469,90669.50485,167672.5598,4483.972687,4958.773068,77900.07165,204776.2537,15878.69769,130516.1485,92205.56012,11763.91093,97798.61215,1294634.436,59707.03776,269479.3792,770428.459,2276060.752,414039.0842,48837.29475,12530.99653,172687.9402,123572.8165,434226.939,215182.4761,315375.0031,6166.124497,83887.06406,15959526.71,680990.6703,15987024.74,6858923.758
p103_6,ko_exp1,2ppm,N wt/wt,1959091.177,52079.13374,7886065.9,1574548.562,54683.82622,176821.6965,34415.70627,769993.1527,18634269.06,3835641.104,428663.259,1244079.325,732011.5077,795350.9038,31729226.35,12808144.2,7659493.068,7233431.323,453785.2403,19268284.71,65006.99635,1325648.734,32534529.89,9839783.112,9385354.843,2759346.074,3655058.224,181146.9188,491617.6563,2208320.697,922671.3265,4181243.253,133575.6521,383200.7604,155014.991,36172.36923,27758527.47,3064621.236,13835461.31,5215736.745,238967.4485,877153.8391,593293.4173,409558.8054,10661902.79,9829588.712,18009.61734,4509076.871,6979754.169,23516084.81,1684018.976,1330590.381,320995.041,100342.16,16281.3322,159670.9629,1423131.861,849927.0182,885395.794,100064.1158,108217.9344,3336225.049,14061.39246,13933.14196,514476.9721,727146.2511,91211.4918,136572.4177,95449.94124,1299021.956,2543.49138,1545240.269,70586.57481,37549.56714,390775.1477,16078.96083,25642.33748,20360.62614,77534.17665,412312.9677,167895.3019,24390.21727,36192.73362,260176.2622,477685.2261,25354.77452,240031.1593,62536.22931,54141.21493,2664.583623,48369.60375,95658.17503,14550.50499,445496.0534,27619.11879,38160.13879,60087.07307,654780.1668,566864.2577,183449.6115,377184.3987,996765.2519,196014.3006,20272.81925,5775.623133,158485.731,101021.611,1119897.597,515624.3396,1128428.792,12341.47864,72993.49561,10810339.93,443407.3147,9198644.931,4998711.906
p134_3,ko_exp1,2ppm,N wt/wt,1541571.184,34893.91062,6343693.747,1418459.794,17888.19247,212424.9347,29879.81493,321213.6715,20242051.69,2493535.124,594857.4642,699103.0644,592915.0662,632064.9499,28783455.96,6856895.207,6162886.195,5252977.82,1010286.153,16163425.51,41812.53621,880608.1393,28606471.26,7944404.612,5409904.544,1874251.253,2469426.756,66905.33755,356517.9754,1202612.256,959117.721,4131400.196,149139.3533,230245.7128,116439.8468,29432.37526,17562962.37,1756503.168,13316370.21,4007924.147,186139.8351,623803.8551,154732.2104,218543.8908,6495273.807,7638699.138,15711.56586,1562411.536,4907400.432,14213740.77,1030830.828,954790.8604,188811.9846,38788.80311,6987.283861,108080.4541,1120951.056,985034.5014,361417.8189,116370.4421,185347.4803,1661122.462,9677.138633,20901.65729,539594.7524,831056.8332,130376.2512,118020.8265,231715.5087,982242.3023,51072.84538,481623.3838,181709.3562,34612.6082,280384.2614,37019.0635,66858.48788,23534.55747,307452.576,488237.3454,541992.5237,33931.881,56841.0915,125021.3179,315665.6881,60760.86783,110860.3212,150964.5742,23252.64176,10707.51747,105101.8976,236972.4279,9852.271291,245442.7197,78202.24944,22138.19715,58395.11655,708029.7751,158622.6943,224279.78,477233.0985,1338367.38,277517.2709,45066.97531,14976.58412,42692.31739,158673.9116,478051.047,312553.686,322554.2263,1918.814409,82952.52924,19253964.58,741934.1087,15672836.74,8345744.685
p76_8,ko_exp1,2ppm,A ko/ko,1146305.325,48574.8525,4110411.713,976251.3871,12571.74009,172269.7848,23964.21572,232775.7785,15152032.9,2373014.85,366868.5434,483564.041,407217.4673,470688.6434,19130776.73,6297694.426,3075207.18,1627876.156,876767.1029,10766011.9,82413.92297,426397.8778,19734419.68,6342780.444,6159943.035,1191385.873,1328116.4,58591.69011,459354.9021,304771.9398,151501.9255,1936835.861,113290.1992,96707.61586,66794.69839,27312.36847,21653654.81,1458315.072,5260081.426,3849865.445,211172.7073,369270.6408,126478.7809,146666.1439,4245955.238,6960262.826,13443.02139,1677478.313,3938938.704,3356156.122,1080885.691,604764.6538,192898.1973,29482.30328,7611.977285,84408.15451,1306304.438,158014.4615,96491.74326,3535.560263,228223.7455,1475744.86,1891.841846,49577.37955,507123.7274,462603.4301,131409.5017,89450.6327,237000.1396,404772.0804,72910.99013,309830.3547,158390.3955,16487.83219,194159.1286,18717.40772,76304.42497,7894.240546,364772.3995,227901.5338,589189.8992,18332.26954,85391.0656,19552.14107,128513.6238,58975.79452,45151.10351,172193.5845,7397.827953,30387.07325,178518.8913,362542.103,4721.894138,94986.38545,143574.0081,8915.309112,60645.16723,849198.9782,95770.55708,230487.3079,462822.7243,1472242.166,242763.9169,27473.24522,7801.460006,9723.738178,96357.0322,106830.6537,50736.49209,129407.5199,7648.415791,90495.02465,20703523.91,935934.7987,16434591.13,6973190.558
p163_7,ko_exp1,2ppm,A ko/ko,1738342.256,61119.27318,5141134.685,1128334.429,12843.43401,223354.4067,27353.07047,303728.8292,13389284.36,3624960.26,489540.5405,349862.5105,596902.8611,681627.9096,24256298.97,8670627.89,5089403.577,3001990.826,661827.2746,12827852.25,57200.29764,534845.0452,23231029.09,7860804.817,8196378.923,1851730.461,2061142.013,135225.7381,691751.2906,662009.267,180357.3375,1401619.709,270258.4252,142951.2759,98049.44196,34891.62879,28468462.12,2709519.343,6084571.575,5548954.476,269436.5012,703079.659,157518.6442,143354.6784,6095407.269,8930548.22,12644.82966,4065274.633,5155342.816,6229761.655,1205458.071,756218.3746,137547.4555,42869.95598,10731.84618,121166.0303,1277086.134,163060.3964,78745.32682,2564.239669,216856.6262,2141217.777,7397.252602,42970.49963,358624.7925,253081.8021,133031.3421,71587.84552,266772.8091,565155.2188,73309.16349,92625.30318,207040.122,15006.44765,154715.252,8466.394323,88752.30376,8319.649099,341061.7207,249636.1113,688013.1378,17051.00553,115325.2396,28165.08123,170424.9306,90835.86644,83110.14225,218275.9882,9134.411382,18670.38073,185975.4078,387521.372,28359.33735,120716.3639,135970.6362,9847.926068,61378.7276,1048038.421,77026.77645,336968.6441,562151.1478,2148617.218,362748.8849,43825.77177,18260.06287,38042.14986,154822.5165,263512.4677,113897.6907,504146.8273,2950.182526,55195.4863,21939061.79,898306.7767,16602818.61,8089344.658
p103_5,ko_exp1,2ppm,A ko/ko,1264569.408,26060.06758,5440549.234,1206813.144,24492.44969,139223.4945,18127.56729,354684.1585,16081058.19,2194406.266,269868.0104,902462.7568,434821.2873,438152.841,21503923.22,6049906.948,3287802.061,3230800.137,559060.3039,11313369.34,75584.01076,535206.8626,24856135.88,6613775.45,5349749.88,1857521.381,1995289.225,58238.68401,317757.0578,905213.1252,614370.9788,4188380.885,64413.8259,120010.6294,62575.11915,35487.34302,17949616.08,1140194.512,9213560.034,3068511.678,169862.074,381755.2494,282667.5802,118357.8041,4199028.648,6732149.449,16112.55263,1797606.6,3571074.093,8372628.703,1075976.086,993760.9699,195281.7702,17398.11735,7680.917291,109672.4798,1120089.413,452133.038,428969.5481,57608.02348,110243.0196,1548485.439,3497.630935,21757.16541,420826.9746,504868.9022,94910.05557,89815.49408,164229.2847,507771.1225,102201.568,422605.1105,88906.38324,13655.26545,138232.8132,35189.54777,64115.52873,7168.383863,81740.99007,194264.9153,479779.9935,10933.30533,75554.60846,42199.77518,168996.1222,47743.4046,85719.36654,210142.2454,10774.82286,10172.86385,88122.99659,232328.5116,3511.739473,127328.9628,107840.0405,9349.154461,125710.6737,1489664.429,86355.76804,483647.8359,946494.1322,2375665.897,431388.1442,63362.14037,11532.5147,12158.19594,141241.8737,240385.9554,108008.2251,270045.8591,1817.722503,59514.77692,18115967.37,717749.987,16778579.85,5944374.196
p97_10,ko_exp1,2ppm,A ko/ko,934230.4174,26039.32251,3966071.089,981777.3016,12084.01213,178617.2527,20598.80501,183460.0726,15289329.77,2037345.213,250784.1045,874075.8984,292539.7535,286950.7581,18371326.8,6595574.194,4126166.104,2061599.332,166980.4102,9781142.805,100073.2484,433006.0749,19850311.95,5298470.985,5495624.302,1000418.881,1119709.982,39472.22965,352413.8799,424582.029,314330.4033,2980601.195,96438.20957,95553.05442,44440.43465,28856.07241,18704249.85,1498027.093,7106608.875,3030459.293,155417.4696,356287.9437,226917.0109,81717.42889,2999389.619,5583534.658,11591.6799,1585334.673,3669103.349,6317417.641,658551.2119,604650.5383,177542.0317,5285.901708,4291.184021,45933.28879,929233.6733,411259.1,311865.6643,56670.71905,175276.9827,1038223.904,4699.241807,48229.6861,523245.2188,420067.3814,84468.46381,148045.54,150629.7513,200151.787,20560.28247,199894.3891,88203.20784,14276.47736,134619.338,32745.00365,51158.26203,11411.9434,50728.60495,208773.1859,383223.8726,24469.50723,102341.9455,44227.4542,83350.94548,67203.62122,60010.86141,170635.3161,5986.227894,10040.27605,118341.6179,187269.5311,8982.804504,96550.65409,77265.48755,11185.9403,48380.49642,941597.6379,93396.35619,411007.4618,485866.2789,1842736.677,311975.1406,22708.46017,9525.752681,19135.92694,205667.1662,171591.2262,64094.96984,435139.2961,7164.429591,127354.003,15006841.12,651089.55,12453003.6,6708384.98
p186_1,ko_exp1,2ppm,A ko/ko,2056673.984,73655.54234,7570407.052,1871318.853,15394.24218,220758.4983,31000.89102,434461.6879,31129481.58,5917437.595,562570.5982,1295616.365,1106604.621,1022201.7,36194365.53,10369285.65,10786156.7,5910545.727,372177.1874,23853405.22,146054.7342,1303249.347,38968980.17,11988274.28,8210329.26,2337689.043,4020577.149,147503.4898,372635.0468,995946.7314,509466.167,6115421.581,127343.5933,433504.6058,198266.1694,39908.289,31581601.04,2266480.316,13049187.43,6267433.038,295471.574,1127877.423,512796.2245,279762.9721,10442326.25,10275334.49,14252.49972,5439869.785,6871040.578,15809521.64,2599103.959,1779455.083,397271.5923,79917.40932,38988.88386,172781.8466,3865253.439,508641.0839,576201.9283,31119.04727,252879.1737,9217048.413,13695.88287,115075.5558,743005.4077,988671.0582,131215.281,197701.832,231816.4423,1026015.079,189986.3717,193702.2111,122602.9591,33829.98785,341383.8314,42566.07129,90274.50745,21768.13072,157487.6264,453537.2998,719158.2562,30723.96443,117143.1325,101257.6568,381926.1617,77853.07657,402796.7144,254533.5374,48903.72576,15107.85202,125500.2019,269666.4837,27348.58983,461048.4015,132615.2691,51844.85189,184161.5994,2977422.518,550372.7371,1376146.753,1306144.106,4225362.83,791534.4814,56530.15471,26676.138,60243.87171,459311.8621,677576.3363,483024.0948,1271351.589,57177.35746,60848.19471,24439942.28,783770.9506,17658862.72,7762316.282
p40_2,ko_exp1,10ppm,N wt/wt,1264018.879,52357.93566,4962666.745,1170590.35,16540.74785,175716.9342,26078.17641,272244.75,27656677.42,1257465.323,330094.4546,1018020.684,456150.763,438080.0667,24656305.94,5398011.805,4576016.037,2506529.659,470999.2854,10153605.61,56691.59247,470786.7289,24370594.85,6200138.535,4662048.545,1309664.394,1487487.458,50011.825,280483.2177,698610.0084,646924.3282,5261446.795,97830.71296,92249.07262,67735.39906,29400.23815,13211299.38,985033.1792,8584160.539,2233869.147,159975.0276,330300.3954,173015.0996,78661.84568,3342801.846,7310565.264,14453.84626,970631.9402,3913639.354,6433075.278,782203.4042,705095.5883,163032.5187,8780.724007,3739.049646,86110.01539,1238396.757,253180.2446,459973.5731,78911.64483,198008.2506,1113996.136,3763.209093,32206.12737,377611.6216,563049.1051,109038.5246,143763.954,225737.9044,403983.5778,43391.92248,551980.8213,129239.4187,10186.57948,93304.1331,41407.98077,129999.3758,11783.81051,50071.60532,161333.1259,797211.8967,11268.45949,74939.53551,54151.36858,103147.2467,72832.86158,44672.66143,171234.9418,2775.13422,13784.57301,85239.96291,211226.4045,2143.852592,68042.72557,63798.032,5469.560618,84418.52023,1219132.463,58494.98667,343428.884,679904.5293,1946976.522,352210.2753,40320.26872,14876.39301,4304.867801,116304.8415,141485.082,63657.00694,243636.7445,2680.465859,40473.50359,20267746.84,723066.2869,16369784.57,7322576.626
p37_9,ko_exp1,10ppm,N wt/wt,1787439.758,56690.21279,7970212.592,1608722.25,38475.69979,153253.2717,32213.72887,387129.1423,34886080.29,3368150.989,513818.6272,1586023.475,685739.7511,667254.4086,32012972.82,10347598.32,6892688.026,6201883.245,469776.3096,16824867.81,135266.0147,1004952.439,33646506.52,9790628.455,7588893.921,2235473.105,3129334.296,102240.5632,416125.8299,957672.3708,1137460.035,5575001.695,49741.55133,337421.9784,150591.1679,36302.96754,23207258.88,2311151.77,14135138.46,5206417.34,233245.5885,709838.0949,542106.8469,297216.9185,9776616.324,9708667.339,20575.65087,2899595.458,6253188.506,22027489.89,1982983.68,1601651.157,328375.2036,47249.49314,28492.78304,133003.6706,2777594.517,561109.9774,755119.3179,82402.01529,216868.2006,9415266.88,12190.99449,88631.67445,886605.8178,1391442.482,109136.9019,279938.0567,150419.8894,955808.9352,28976.1702,1575591.376,106498.0125,23489.51644,256192.0805,22566.2039,70741.41708,14846.58159,66248.87044,370474.5998,337804.2367,19381.18439,72713.65271,149201.0616,384734.4318,47959.03902,175518.3491,123172.0309,31986.7064,11744.38956,95797.20513,165471.0298,15007.32376,336694.9898,88432.65953,30089.6754,78148.69171,1210536.498,362009.7922,370620.7074,622854.6035,1775477.006,337728.6952,35672.58904,10101.56421,56625.36799,169211.6722,751121.3693,354628.4164,1076552.703,49310.93789,103234.5385,17021964.35,687527.2958,15131712.55,7036940.232
