,Experiment,Folate,Status,Glycine,Trimethylamine N-oxide,Alanine,Sarcosine,Succinic Semialdehyde,3-Aminoisobutyric Acid (BAIBA),4-Aminobutyric Acid (GABA),2-Aminobutyric Acid,Choline,Serine,Hypotaurine,Uracil,Creatinine,1-Pyrroline-2-carboxylic Acid,Proline,Valine,Betaine,Threonine,Nicotinamide,Taurine,Thymine,trans-4-Hydroxyproline,Creatine,Leucine,Isoleucine,Glutaric Acid,Asparagine,3-Ureidopropionic Acid,Ornithine,Aspartic Acid,Adenine,Hypoxanthine,Urocanic Acid,O-Phosphoethanolamine,Deoxycarnitine,Spermidine,Glutamine,Lysine,Glutamic Acid,Methionine,Guanine,Histidine,Allantoin,2-Aminoadipic Acid,Carnitine,Phenylalanine,Quinolinic Acid,Arginine,Tyrosine,Phosphocholine,Acetylcarnitine,Tryptophan,Kynurenine,Phosphocreatine,Glycerylphosphorylethanolamine,Propionylcarnitine,Butyrylcarnitine,Cytidine,Uridine,Biotin,Valerylcarnitine,Glycerol-3-phosphocholine,Glycerol 1-phosphoserine,L-Hexanoylcarnitine,Adenosine,Inosine,gamma-Linolenic Acid,Guanosine,Leukotoxin A,5'-Methylthioadenosine,Sphingosine,Glutathione,13(S)-HpODE,CMP,UMP,Oleoyl ethanolamide,Adrenic Acid (22:4 n-6),3-Phosphoglyceroinositol,Corticosterone,AMP,Mead Ethanolamide,GMP,Tetradecanoylcarnitine,Succinoadenosine,S-Adenosylhomocysteine (SAH),Hexadecenoylcarnitine,S-Adenosylmethionine (SAM),Palmitoylcarnitine,Cytidine diphosphate (CDP),Linolenyl carnitine,Linoleyl carnitine,Oleoylcarnitine,Cysteineglutathione disulfide,ADP,Stearoylcarnitine,GDP,LysoPC(16:1),LysoPC(16:0),ATP,LysoPC(18:2),LysoPC(18:1),LysoPC(18:0),PAF C-16,PAF C18:1,PAF C18,ADP-Ribose,Protoporphyrin,UDP-N-Acetylglucosamine,GSSG,NAD,NADH,Sphingomyelin,PC(34:2),Arachidonoyl-PAF,PC(36:4),PC(36:2)
p50_6,ko_exp1,10ppm,N wt/wt,1926676.493,107468.916,8061905.189,1678062.052,33809.60055,170483.9248,33490.36414,593121.3288,38488575.44,3311304.55,692151.4267,1192168.361,719365.2954,766666.8129,31044617.53,10946189.61,11034465.07,6234093.822,829563.7504,18567630.04,66986.18121,1225424.092,34433470.87,9957971.144,7898222.504,2736300.181,3412621.36,158637.869,490349.6169,1709567.599,788744.2315,6560336.487,259720.5029,371885.8538,198316.6357,32985.55468,25004402.69,2608939.645,14990786.96,4254549.88,222018.3907,844101.192,263969.8729,593783.1533,10356719.92,9381985.696,17768.83564,2599448.872,5894299.144,19363931.91,2200965.469,1431687.479,289953.7023,45557.01619,17548.52636,255334.8002,2389022.884,1290098.027,848947.7458,180600.1132,212669.4129,3380169.651,13544.21019,62521.98799,1114091.722,1585944.569,113087.164,460486.3296,140441.6035,1751965.21,31138.23157,1144774.884,130842.1579,36767.80872,310650.2632,31790.23286,67364.43485,17665.12653,142518.2785,561395.7139,351237.4066,34279.5726,72859.10232,413815.5734,529273.6635,50811.84248,190748.7051,128728.5271,34850.90184,6104.94913,87997.78534,184749.089,26543.57926,404548.5015,61507.55033,39473.75599,76482.66681,1104212.213,352763.1832,339116.0463,592320.858,1553021.916,297402.017,30897.66063,10326.13366,40983.64151,111204.9216,793640.0829,516012.315,1149489.283,36741.89915,69783.84566,18092242.22,666083.7042,13983375.46,7139059.138
p57_2,ko_exp1,10ppm,N wt/wt,1811539.002,66809.12394,7460041.952,1545740.542,45789.94578,163344.902,29152.81112,705148.1371,16881374.47,3536542.653,815008.7295,1252164.282,680907.517,707164.5825,30520889.06,9859800.977,6488428.76,4710873.054,442467.1977,17668669.12,118720.4378,1146617.841,30736747.62,7436172.528,7557836.809,2893344.676,3885834.355,173082.9908,417665.7584,2250712.641,581537.4816,2417008.279,117029.4167,314906.2147,135191.9802,33482.69494,18103442.95,2590869.639,13483339.66,4415462.396,218354.4423,736996.4797,317660.5512,306483.3468,7860328.642,8726999.291,18823.2792,3085920.08,5967283.35,18462405.6,1401713.281,1115460.42,276818.3454,120744.7287,23206.11421,168096.971,1500977.096,409550.8468,413016.349,40366.21296,117858.6127,6314539.661,13917.30292,14232.33983,424382.7455,416998.244,104600.0842,130071.2324,122156.8332,1324453.917,42221.98745,1671910.204,89534.64892,24004.4116,225750.864,29559.78534,61139.65743,23757.8093,91452.62762,250196.4231,292794.3805,13161.72711,33826.32322,106844.098,357806.0164,27053.06061,168834.7281,62063.11139,39964.26688,2825.338842,43423.6559,90295.52263,8210.617668,313579.2303,35633.49112,28688.90503,78078.49085,1177218.285,463004.677,372413.8915,671978.3835,1784693.53,331676.2906,35682.16972,11488.14652,47105.31986,122828.0995,793621.115,371555.2028,1034308.448,6931.635108,86449.58364,17342324.53,702112.635,14760152.35,7419156.845
p29_1,ko_exp1,10ppm,N wt/wt,1466404.258,43022.86715,6976532.708,1435330.333,17167.04644,183324.8048,32752.35816,283683.7595,23053651.69,3269324.385,665995.7163,470046.2716,602681.0727,622313.7145,30221920.2,8334503.638,8708460.5,4987806.946,868986.7109,17159636.36,31645.23605,743349.4078,29273080.38,7853576.849,5433563.865,2292163.139,3140509.284,62168.31024,323761.5082,2109324.136,390471.7352,2372414.592,152362.7135,268561.5517,125215.724,30210.43194,19782948.09,2006105.116,12688345.7,4345491.802,182263.2403,692097.4529,90823.25853,247218.8697,7803600.821,9251146.241,17743.82717,2152932.21,6329665.819,16232165.88,1722592.454,1429483.24,396434.7665,101651.3363,14720.96406,131996.1503,2031963.324,380094.1414,123811.1397,35194.83516,150553.9526,3695311.534,9358.523196,22330.92828,364128.2453,142210.4451,106919.4886,82759.68592,170543.6497,1487574.723,46563.93231,233580.1061,140774.8094,13918.26694,123837.6938,42351.03865,80601.04374,20718.74691,190265.6559,141556.9419,483653.2152,7003.287574,35585.6834,83248.31273,229144.8339,27859.86492,132170.4179,82029.69642,28279.83072,4116.852639,50392.33041,114252.2131,16205.52243,227253.612,48156.94382,21683.76419,103523.5327,1317879.109,509265.5691,465338.0333,794392.233,2373197.43,474068.1946,41066.40842,12963.42426,33271.71449,115688.2861,704400.4607,423238.1254,845797.5415,7774.842873,102403.9872,17502921.42,708530.07,16004010.89,7360946.735
p37_6,ko_exp1,10ppm,A ko/ko,273359.6169,373.4693799,261408.6319,146710.5784,13788.71902,27362.90862,8049.369031,135284.5625,1199286.763,14267.02871,167.881147,,195677.7316,97743.73914,63443.74442,459694.4601,1035873.846,169192.7833,5935.106532,4004.540791,120887.9406,51166.04884,,,,,20612.22382,,2300.842144,949689.3529,45665.72641,,,,,2064.054063,117949.1874,68496.92656,6771.154975,,,20837.17998,296.0614246,40585.16568,19167.56827,,1410.731901,35766.35275,,57535.62112,52348.91372,48560.54228,1468.812144,,,3120.159221,,,,,3247.997547,20394.80725,153.8368906,781.2547765,2069.980944,,,,,,,123872.1923,19198.43681,,,1097.463644,,712.5325675,,4176.728306,13210.71424,,16021.06873,,,2740.961243,,2427.042485,,691.0513195,,12172.17496,,4524.794626,6167.977122,123.0201257,5275.218383,2913.721996,13140.023,3267.845164,5411.444585,3206.952208,2187.03498,,842.3955706,171.4039299,1388.096785,2206.322881,1030.197202,,212.1845659,,17795.43168,541.8622588,12573.17265,6013.271671
p37_6_2,ko_exp1,10ppm,A ko/ko,754641.7598,4173.294664,1275418.401,456511.865,6187.234403,93917.38898,11402.5203,122307.2601,2904618.181,555132.0298,59533.10908,16306.64586,133312.6388,161398.4683,6555237.706,1853097.016,2163248.028,553725.308,582209.3034,1826769.222,2514.101082,265173.023,5063670.366,1690007.645,588705.2735,251947.0494,318264.4649,5214.721532,24189.65914,519035.8184,135614.6188,298393.6278,,4218.16626,8903.99581,2160.078687,2690175.333,146133.9732,1229430.401,1206985.595,9097.573274,67877.19921,1036.289413,65755.28056,615519.8497,1876846.187,6296.413619,102344.4216,1048700.948,475705.7731,193405.8822,380426.4385,84626.11233,4099.632047,,10206.45924,251826.9633,39073.4556,,,43679.79019,294364.6705,159.5178053,13304.14397,61854.13846,51813.3092,41837.88047,28328.78865,69768.41584,151072.8003,,34985.59534,42272.1705,619.5515887,13118.41263,22656.95365,24638.56762,1280.714093,58491.61115,20121.41195,287800.8194,404.4078511,34297.7311,9610.557584,,15648.58478,,30254.98134,,4858.713216,25721.78363,64570.53848,129.6864744,12474.92758,20843.95676,,20936.39106,257935.6483,9279.363485,93938.93817,129626.525,380953.0754,33296.79107,,2183.817996,4107.975063,39591.101,43004.97013,8053.150004,75028.9026,2804.091692,11486.12632,8119501.166,393788.2283,6358565.009,3195154.339
p50_2,ko_exp1,10ppm,A ko/ko,1646439.278,94836.27203,5439096.468,1336974.282,20496.6261,197925.1633,25749.11691,306105.8851,21872854.03,3531322.975,385906.3068,345988.2276,587130.001,731877.9439,26321577.86,9436167.347,4021694.311,3511910.274,1894925.285,13123713.04,62876.88158,611670.5981,27745680.22,7581420.138,9897684.661,1810499.928,2038035.437,106943.8116,675152.3184,821338.0149,237291.8458,3575374.137,224809.3446,143268.8592,95383.35706,31157.52815,28617415,2469162.947,8061358.425,5559819.212,266614.9508,624087.7429,82528.5863,232452.1402,5665997.671,9980410.66,15506.24884,2860421.623,6617904.734,5180450.067,1362530.359,1350448.183,524962.6799,24663.70342,8769.667175,148344.6624,1251590.141,293733.8273,99227.66566,54653.41885,245506.008,1154372.96,6220.467978,77531.49247,664567.177,557556.118,148674.399,256564.3223,222072.6516,876757.8096,49602.3618,373856.1946,139147.1356,17935.67607,131346.1018,30271.53594,92297.38286,15022.59328,79708.2555,241526.2403,635752.934,17459.07334,142877.217,101014.3059,214801.413,101327.7698,99218.82351,214647.6542,7917.294261,26569.10773,207418.3421,331309.3793,11292.34867,108133.2988,97908.53108,9822.661081,75851.54018,1442171.504,87514.04559,483545.0454,686395.9119,1957409.952,337179.8856,33419.12687,9565.016497,10635.47748,253042.319,234260.0641,113048.4415,500182.0161,15600.67873,78285.49951,23436243.7,936519.0754,16729815.62,7251041.142
p29_6,ko_exp1,10ppm,A ko/ko,1275204.18,26903.75274,5278212.526,1177514.92,15925.23767,217656.2186,21675.88968,181820.2259,15962539.41,2478686.473,450895.8481,188481.2024,363064.8741,347239.1692,21660564.21,5236080.42,2532432.485,2659608.662,1591361.612,12364788.58,31445.0095,545369.1741,23978407.49,3509491.905,4130717.639,1845596.114,1976183.405,25460.72282,280211.114,998666.9503,476954.2289,1361672.833,89852.03143,132265.3602,60518.27602,30515.07456,16468406.69,1007009.063,10974693.1,2490850.453,145121.5008,366529.0507,21287.23518,183342.5154,3692559.619,6166292.817,13290.99296,1135409.589,4163752.984,7550706.841,813697.0463,934218.6209,230174.8841,32444.46533,9810.445385,63652.56935,923233.9212,291495.9288,56216.87407,27072.97178,94511.29187,1928578.661,4175.570699,11053.10683,338954.3486,274819.1386,87909.33846,101459.6704,190921.8207,471262.1881,77217.12197,911760.5642,135004.0055,14763.56567,142127.7395,28903.61264,98430.80589,12790.88173,78359.36613,148135.2905,649317.2922,8878.873671,37668.78123,48725.70211,180074.6993,25936.37475,67288.82058,94060.53537,11081.10433,6680.135557,71422.90954,134918.7696,3576.696607,122731.2696,59031.70421,10245.49866,94722.61079,1403464.531,147882.0652,539502.5296,828128.5383,2975487.777,558688.5172,54089.92715,16722.61057,7908.517023,129089.5515,319582.351,168217.3516,459979.9087,4838.805295,77339.2617,18956302.36,742345.155,16922597.98,7256498.384
p118_3,ko_exp1,10ppm,A ko/ko,1431890.664,38532.46075,4126005.911,1231660.93,2455.293845,349532.4138,39073.88754,149490.546,16574140.9,2470013.642,402589.3677,400182.6955,355531.7753,382658.6717,19159631.05,4818419.862,7243095.281,2054798.832,362442.2123,16626811.68,53195.54775,511468.5441,24821198.81,4740140.704,4825070.494,1101488.973,1272957.553,39273.32205,341113.523,1106210.909,207646.488,4423309.84,95364.91552,203805.0491,104230.0583,31890.69955,18632953.37,1290168.886,9250164.655,3502856.828,160479.0022,389891.4328,186848.6883,196434.5979,7443766.914,5503860.045,8286.565602,1614760.897,2992192.732,9218274.922,1664381.099,701899.9175,238274.4249,39876.3786,8747.833866,188318.8934,1423863.183,484676.356,265916.9811,25554.89601,235750.0854,987211.098,6560.940197,58497.1139,881863.8133,602665.6756,126359.4241,169135.4477,286358.6415,268985.2153,66620.88618,148450.7518,159749.5261,32953.43163,318842.0784,30131.40053,131930.9055,20608.37531,276730.1171,432601.1516,761003.1795,39864.39274,115331.21,105605.019,226439.1709,69126.07728,170394.15,219217.3958,15862.24066,12483.04812,185589.2246,262958.1042,11625.27924,208383.6826,115805.1797,19717.86236,46662.27989,656507.4133,117177.7069,247607.1689,344924.1592,1078462.987,193651.8204,16407.53413,9620.522692,53287.57064,66172.80034,346217.6148,146786.0675,672093.9558,7076.436242,125489.8678,22811134.1,975108.6101,15368330.11,6654737.195
pKOexp1_QC1,ko_exp1,QC,QC,823752.6827,40397.28995,3917218.137,915752.488,12819.25745,94539.63888,14767.29359,182062.0576,13300994.15,662270.5202,168275.7345,301181.9248,466708.9888,594508.8686,17819071.56,3602480.083,4111122.189,1164064.161,2002230.265,5694936.935,56544.10523,368432.0668,18469925.28,2715279.08,2665493.694,770908.6394,798956.8826,57247.91506,138010.9225,479949.6018,673146.4956,1930606.716,148331.6256,23308.15557,43048.4782,13260.65167,6505401.891,495077.9746,4286466.59,961809.2771,105221.1544,183366.6092,43210.23159,81740.32371,2190904.408,5702305.102,13171.49121,416995.9087,2365888.332,1847465.136,606950.5568,762930.9183,114627.9446,6269.063899,2132.702414,52038.38949,941289.8144,81805.13537,61459.37714,25525.81011,98461.30388,969227.9535,1432.673215,26636.03815,481719.9553,59657.40978,188133.6066,43090.40052,237361.5269,508113.2084,53718.79658,63148.46354,125078.4978,2956.003136,32600.42691,17882.38716,95531.76356,1828.532221,380730.0251,37925.21359,795004.3189,1042.897649,111091.065,,27059.49949,99421.20724,9234.191288,254718.1765,125.9109948,27511.28695,153800.6179,381313.9148,843.5825016,8568.731395,123492.0758,,152448.7504,2632975.565,2129.735192,842187.7375,1408444.043,3188085.134,504175.623,47319.11372,10611.13312,4162.898057,191970.7149,60156.85383,19207.76264,114265.8014,456.0074032,36157.37119,18731389.75,630081.5484,16870523.3,6344067.589
pKOexp1_QC2,ko_exp1,QC,QC,773962.0691,34362.69381,3351076.675,859583.3889,14725.43004,97254.87901,13748.60526,185712.21,12370210.34,488051.2694,129196.4851,216558.7766,365573.6164,554239.9728,16601848.54,3214169.117,3707104.228,1143559.109,2308005.218,3993596.233,40816.73117,342697.5348,16813402.62,1519537.679,2468136.804,696533.5195,753335.8186,43228.95929,114159.9112,378138.4023,668474.0744,1755768.282,133149.0897,16339.06,36461.82364,15899.5518,4729495.696,380344.1818,3819378.943,939593.2701,102003.3924,154436.5214,23978.76616,78826.22576,1853843.597,5178517.031,11952.69916,307211.6552,2325536.431,1474275.049,525670.0189,840010.0036,106846.932,5025.519199,1028.735099,50635.61312,789480.27,75131.00661,38397.32611,23006.7733,81028.05829,806133.6416,764.9527445,22835.9648,436604.7324,55013.8085,179297.2328,36161.02327,221586.1026,472458.2896,97222.93943,53640.88072,108228.3269,1403.365211,25578.2028,29953.84398,86277.89445,861.1269806,389364.7621,32190.67418,806810.6864,452.0040568,107319.364,,21717.24348,87982.0881,3957.717841,229354.7132,,23783.03236,142690.892,357731.3484,761.3743868,6488.65217,102689.5786,,141655.858,2205291.504,1218.406076,790966.0455,1306365.95,2941705.529,444427.7867,46411.5896,9828.654722,3101.224763,152480.0615,48873.04939,15392.56285,89324.32295,157.6667145,41337.75478,18820541.42,667675.0966,16984022.62,6374069.991
pKOexp1_QC3,ko_exp1,QC,QC,1174048.912,51203.09188,5623371.306,1216895.538,22292.11232,110094.4104,20248.69955,362680.2885,19785007.88,1366854.867,320411.3621,551368.8164,973071.9273,923497.2795,23328923.1,5375782.523,6326901.532,2909576.81,535622.0767,10890348.11,71466.87444,557742.9964,25252026.62,6390964.851,3794099.723,1394657.078,1489796.755,70854.65971,251225.3976,718031.6098,734308.7213,2850861.358,221893.7421,85935.35026,85451.1519,32092.93945,15126019.45,1172365.018,7355606.451,2451687.736,158929.3244,329169.6901,144368.3084,140064.1069,4374355.318,7104373.464,15920.37118,1237459.142,3853810.033,5991340.532,1027456.647,1087069.36,170950.9193,18342.57294,8284.549749,93206.1256,1422501.005,268026.2727,199045.4627,51688.06155,128129.636,2203625.262,3698.020864,32840.75524,976092.5185,82149.47717,158326.0991,76630.39396,192674.9608,788485.9364,156112.9878,104941.7137,110808.3304,7479.312778,76800.18257,27737.11369,98733.47581,6480.312784,358678.3946,97885.55678,730265.1491,6295.384147,89735.57469,23987.60166,80059.29781,82991.73823,43495.81749,209255.5454,631.1034589,22672.57779,139119.9741,324778.3286,5740.631937,32400.88934,136608.2454,777.4569496,124646.6428,2225961.577,31659.60055,671524.8211,1147951.047,4085278.816,683092.1269,63428.86122,24085.9383,9175.249926,171259.6208,131268.9603,68121.90059,232064.6548,445.0721898,51491.02386,20130876.93,696163.5617,17156122.47,6382756.395
pKOexp1_QC4,ko_exp1,QC,QC,1376425.957,57302.48692,6038995.846,1345476.44,23053.41589,122529.3198,23911.4307,406500.8264,19775846.87,2024690.339,409483.4369,724662.4034,920636.4904,880438.252,24785502.34,5918945.885,6165762.025,3786774.003,416383.4117,14543324.82,81114.76709,737245.5867,27707547.18,6932543.642,4631232.632,1816216.353,2011392.286,101314.1634,309166.7732,1038113.116,748190.8781,3209881.829,245188.0058,178852.7662,122183.9943,36103.04927,18033037.84,1647335.52,9794450.757,3525626.533,170615.5455,458752.5858,196519.9659,242232.1888,6253346.177,7270541.546,16350.26981,1733965.636,4552006.32,12336719.87,1331836.78,1007865.084,182901.9019,37064.14671,13911.60812,115711.988,1615435.79,487009.2555,320356.8519,60093.73876,136820.9873,3572256.383,7130.178554,34477.24132,1186478.951,176356.8071,130801.0267,130503.7248,169594.6546,758275.0514,99402.96959,107602.2536,102670.073,15914.93212,155967.7225,30972.75683,72061.89036,13141.40314,295224.6333,198767.9417,560762.2848,13631.72165,68646.45615,47692.7057,153293.2861,58116.88599,88720.06889,151467.5914,2820.936065,14062.43006,110485.0652,238816.364,12781.32726,71429.63478,102895.5573,2095.759135,92107.86249,1604489.942,45472.35802,477739.6054,801500.7178,3221844.62,540699.633,40327.9747,23258.68375,29713.06339,152588.335,309621.9625,183707.5346,531129.8499,496.9396494,3511.502694,21307928.36,788245.1336,17227723.74,7391295.226
pKOexp1_QC5,ko_exp1,QC,QC,496999.2679,2642.189691,1615182.789,470344.7306,11303.42148,74010.63651,10611.26948,169707.1547,2673297.786,484399.598,56304.44073,7641.578889,161860.5752,162329.9635,6446385.01,1252468.75,2053574.113,771155.3508,368600.1708,3519846.13,31172.25202,342534.7595,6279209.401,1451172.473,1242181.034,157802.3372,342655.6896,,33825.01119,716325.8317,137907.9359,332249.0324,13873.37518,13111.10407,11417.71826,2863.267186,3381676.174,203704.6293,2344610.087,904714.581,,64984.92776,1979.740755,73372.2046,676627.2022,1273634.425,7560.784146,107492.2001,728648.0449,1080223.589,177522.8787,298297.9506,43434.40189,5502.303868,,10192.91692,159124.0218,145949.9123,,5019.471795,16892.32238,410090.7504,963.9150875,1627.801448,103146.6328,27960.51071,6561.619039,6713.177863,19981.08839,104224.6822,,147894.5094,28385.27124,1880.166119,26525.33804,11907.32476,8407.123555,2307.153656,58652.03219,32143.56704,130623.3106,877.4729492,21831.23759,15808.48441,15591.01692,6752.447124,1541.127445,10588.45987,397.5833604,2790.946567,,36064.19102,425.5515529,19606.6061,8952.091709,461.9016385,12182.47691,169786.0422,43128.65698,56947.92054,83187.97155,309614.5083,37693.25398,4173.982039,1700.95767,6642.560513,10206.72156,97149.25688,29888.91075,110318.4345,,2184.157542,5121050.895,208183.086,3732528.325,2177525.05
pKOexp1_QC6,ko_exp1,QC,QC,530188.4394,5826.762227,1779430.588,498472.2955,10533.54497,70501.06284,7724.53764,170139.3226,3255405.524,518891.5572,83155.71205,5414.454262,64297.32627,168847.5408,7619174.979,2351430.481,1782393.425,850628.2693,431284.2834,3418004.67,19527.99197,293650.0616,8213884.202,1688982.499,1150765.919,245710.5718,432311.3899,,37944.93509,815983.5611,181712.5908,393782.1,19745.10714,20735.48358,14789.25449,3379.175589,4304604.889,222485.1793,2926316.143,1045676.199,,72509.77934,424.5101035,93248.52105,776470.3728,1466232.784,8237.478264,119009.3642,853055.5275,1315031.394,203077.9406,328464.3527,49729.36917,5877.289646,182.7209481,12561.49072,171363.5321,154933.7953,,1590.449576,20674.04196,465458.9564,1107.437874,3313.665505,119487.8615,24802.98081,23935.32474,10195.87867,31219.88897,136319.1437,,60918.36373,18208.74926,3385.366974,35617.65858,17844.80783,7954.696893,3668.015978,60215.08481,37649.35947,139242.0216,2015.885009,22285.32692,19255.79213,16005.23113,6155.562896,4573.809627,12317.52505,944.2757247,2502.972822,,43197.01715,930.0001677,21694.63197,7807.188651,395.8989519,14907.97722,191599.1633,49727.50882,65291.60851,93627.68832,348262.239,38289.40361,4710.686855,2035.933017,11304.29915,14271.305,119129.5137,41683.09013,144261.4441,159.2452503,5009.59771,5938892.903,236429.22,4294219.029,2605810.83
pKOexp1_QC7,ko_exp1,QC,QC,965921.1179,24521.08758,4448688.146,1077641.266,16741.02244,112786.8685,15956.35233,263239.977,8398827.639,1174789.404,238140.8831,239092.9546,373700.3025,432276.239,18479895.56,4438150.72,3827238.361,2277540.003,1359348.793,8623988.899,36903.38736,513770.7307,20578043.15,1429356.421,3013398.595,1139460.557,1239536.182,43851.39361,206097.4518,821248.6249,517533.1852,1503745.109,103794.6285,93845.41791,62196.88263,13733.11075,13078368.96,927704.7355,8619971.257,1207026.877,107370.0526,227787.362,29486.25218,213066.9345,2901635.263,4240677.131,18692.98216,560849.0089,2486976.617,5314075.991,632475.7294,716919.6771,130074.5019,23609.11766,6243.055832,53260.54771,662021.2103,308974.3313,76468.14507,34834.73006,62031.94751,1624761.167,4851.723608,11393.70642,484906.9304,159995.6212,91923.75285,75838.75857,125435.7333,570122.4199,14992.38626,55680.60086,59088.27341,10530.11629,128943.211,24074.69754,25623.46114,7482.305027,165276.5144,127961.5888,277271.9314,8859.138334,40881.91608,45138.23853,80465.65164,16854.98466,42513.95411,51812.73183,871.9302714,3749.856068,18399.59701,104018.0683,9945.872694,40722.91857,20374.73934,146.9892932,38328.5521,571429.3547,19195.49836,180038.9476,286243.224,1090499.624,196344.0137,14048.84984,6430.56553,31283.03133,57021.39728,310502.4597,144832.3657,497758.4374,661.2459854,11952.73427,16297589.45,684867.108,13638881.81,7485557.758
pKOexp1_Solv2,ko_exp1,Solv,Solv,127680.8669,1712.568306,60675.30424,109422.692,11710.73553,31000.71447,10035.00269,24991.47314,161278.634,5786.305984,,,,267745.5804,35733.31305,158141.6798,997818.2764,34548.95,2057.473265,146.4046373,119961.1739,72482.07639,,,,,159094.0594,39607.42605,2441.616748,404348.7885,63745.81281,,,,,1041.686349,55139.41584,55713.84787,142142.1903,35982.9804,3941.605957,18347.64632,932.5729101,57095.45606,12937.77445,223309.0943,239.1796434,44308.69148,43342.69412,8871.475902,41979.51332,139618.5652,5764.305879,161.1740323,,3316.788136,3837.193044,849.0404006,,,1931.237994,3193.080765,99.77361279,444.4542905,553.8969542,,,,,,,24609.58874,18069.96475,239.1108829,,1857.450161,,,392.66445,2877.969589,29702.26534,,16807.11198,,,2392.54364,,3511.029785,,1705.489171,,12495.06914,242.2780196,2051.049952,5420.145145,,3625.21714,1584.737374,2814.327437,4107.658265,4694.830053,1446.400026,1078.958611,,,287.4348205,,903.1239197,,,,,859.520857,,536.2905497,249.1521576
pKOexp1_Solv3,ko_exp1,Solv,Solv,157050.4806,581.702396,141367.9447,133923.3547,14163.71846,38282.66245,9390.125698,70326.4088,145456.5918,8775.621836,,,,280199.3426,36983.2235,269306.4739,1076142.631,95321.79832,3102.307096,877.9850297,121981.1075,198031.9314,,,,,93662.99733,19913.07454,3055.638826,490556.6915,67740.35216,,,,,696.726643,74386.729,45937.98083,99999.03396,20152.40317,9167.509245,18213.20147,1042.059844,63022.18944,9852.965813,84170.74608,612.4022554,36610.3197,20414.16049,4181.105823,47810.90527,121147.06,3408.138625,,,3159.306631,,,,,3151.361772,4426.493299,163.780445,986.9794514,,,,,,,,22421.15447,17870.59753,,,1233.336076,,,,3082.595184,22741.27953,,17251.4323,,,1975.102693,,2171.177439,,1148.040421,,13389.45152,,1050.51191,7966.430484,,3438.66058,3052.294804,1132.557697,3659.294485,4391.316367,2700.259546,1356.52509,,,330.5366081,,1105.103884,,,250.3436601,,1477.484677,192.2053064,451.6773806,507.6915301
pKOexp1_Solv4,ko_exp1,Solv,Solv,279140.9149,188.1595456,167436.3313,189883.7865,7472.744073,52591.71785,7225.377346,70751.26347,384825.837,15952.28061,200.0121178,,,91503.71247,98208.97107,140488.0893,1241197.399,123364.2161,5062.333377,7687.676572,59127.38632,99602.30589,,,,,,,3062.131913,977500.5976,37400.68835,,,,,1772.706958,63380.02178,58820.95199,,,,17871.72029,,9149.74016,12071.56693,,1082.576643,27371.4084,,40754.05068,50554.98951,81825.00453,,,,3164.534724,,,,,3606.348487,13029.9008,300.8083753,1627.180633,1138.222602,,,,,,,49589.65503,19611.60064,,,637.7832708,,309.1517577,26492.31916,5458.884967,13655.1679,,18172.68496,,,4223.53874,,2329.365294,,1954.683349,,9692.125377,,4873.272038,7603.002945,,4802.064564,7356.028669,18075.85412,5341.226472,6412.941814,6778.760526,2109.444914,,,461.8298372,,2501.279716,302.81774,,153.0701294,,10625.89611,157.6916848,5426.297635,5237.964405
pKOexp1_Solv6,ko_exp1,Solv,Solv,270343.6345,187.6803309,237810.6675,168088.6889,6017.646606,45348.10066,7398.063778,124226.189,170830.525,10027.37394,,,,298306.4554,79149.84123,148300.1732,1104493.838,148178.6599,7087.456299,13297.64861,99366.20369,395357.42,,,,,11964.85863,,2514.670763,1013420.954,51514.94115,,,,,1575.859958,128195.2405,50374.95851,10443.63159,,,19615.36674,510.9366816,40683.01048,8144.197215,,1248.82628,29677.7561,,6233.19713,50764.11637,141082.0722,914.4404104,,,3024.14037,,,,,5627.497826,3922.146227,671.2967199,2026.81536,,,,,,,,37040.01888,19029.59762,,,3939.74167,,225.192218,42838.1861,2781.486816,28624.52534,,20607.36103,,,2774.006265,,2178.917835,,505.5191498,,17017.30186,144.1726583,1716.121123,10164.83966,,4209.709155,6432.393026,2463.621266,5933.506913,5861.249308,5792.436721,2659.323795,,,270.3441072,,1285.152221,,,336.7366727,,13399.29629,324.0188083,5044.68077,6412.876556
